*it=0 cost=1.125286340713501 creg=0.0630415439605713
(0.36940000000000001, 0.85340000000000005, 0.98529999999999995)
(0.37869999999999998, 0.86029999999999995, 0.98360000000000003)
*it=1000 cost=0.9445581436157227 creg=0.06316790580749512
(0.4103, 0.89119999999999999, 0.99160000000000004)
(0.41220000000000001, 0.88829999999999998, 0.99129999999999996)
*it=2000 cost=0.8375899195671082 creg=0.06321347713470458
(0.42759999999999998, 0.91439999999999999, 0.99419999999999997)
(0.4234, 0.90529999999999999, 0.99429999999999996)
*it=3000 cost=0.7567875385284424 creg=0.06321868419647217
(0.46079999999999999, 0.92820000000000003, 0.996)
(0.45279999999999998, 0.92000000000000004, 0.99560000000000004)
*it=4000 cost=0.6980063319206238 creg=0.063207688331604
(0.48010000000000003, 0.94110000000000005, 0.99760000000000004)
(0.4703, 0.94240000000000002, 0.99629999999999996)
*it=5000 cost=0.6703400015830994 creg=0.06318919658660889
(0.48749999999999999, 0.94320000000000004, 0.99739999999999995)
(0.48089999999999999, 0.93940000000000001, 0.99650000000000005)
*it=6000 cost=0.6628961563110352 creg=0.06315568447113037
(0.49320000000000003, 0.94579999999999997, 0.997)
(0.4829, 0.94069999999999998, 0.99619999999999997)
*it=7000 cost=0.6610264778137207 creg=0.06311166763305665
(0.48630000000000001, 0.94569999999999999, 0.99760000000000004)
(0.49030000000000001, 0.94799999999999995, 0.99809999999999999)
*it=8000 cost=0.6211798787117004 creg=0.06307289600372315
(0.50949999999999995, 0.95320000000000005, 0.99790000000000001)
(0.5091, 0.95440000000000003, 0.99750000000000005)
*it=9000 cost=0.6879020929336548 creg=0.0630143117904663
(0.48039999999999999, 0.93989999999999996, 0.99790000000000001)
(0.46970000000000001, 0.9355, 0.99639999999999995)
*it=10000 cost=0.5938473343849182 creg=0.06296472072601318
(0.51839999999999997, 0.95920000000000005, 0.99829999999999997)
(0.51649999999999996, 0.95889999999999997, 0.997)
*it=11000 cost=0.5901209115982056 creg=0.06290615558624267
(0.52180000000000004, 0.96189999999999998, 0.99860000000000004)
(0.52080000000000004, 0.95589999999999997, 0.99850000000000005)
*it=12000 cost=0.589724600315094 creg=0.06284040451049805
(0.51780000000000004, 0.95889999999999997, 0.99809999999999999)
(0.50580000000000003, 0.95520000000000005, 0.99780000000000002)
*it=13000 cost=0.5431850552558899 creg=0.06278007030487061
(0.54139999999999999, 0.97009999999999996, 0.99850000000000005)
(0.52800000000000002, 0.96489999999999998, 0.99809999999999999)
*it=14000 cost=0.6004806160926819 creg=0.0627070426940918
(0.51139999999999997, 0.95940000000000003, 0.99890000000000001)
(0.50629999999999997, 0.96160000000000001, 0.99890000000000001)
*it=15000 cost=0.6905141472816467 creg=0.06263685703277588
(0.46779999999999999, 0.94489999999999996, 0.99839999999999995)
(0.45400000000000001, 0.93859999999999999, 0.99780000000000002)
*it=16000 cost=0.5599051117897034 creg=0.06258245468139649
(0.53590000000000004, 0.96589999999999998, 0.99809999999999999)
(0.53159999999999996, 0.95999999999999996, 0.99829999999999997)
*it=17000 cost=0.5423547029495239 creg=0.06251160621643066
(0.53779999999999994, 0.96799999999999997, 0.99880000000000002)
(0.53820000000000001, 0.96760000000000002, 0.99819999999999998)
*it=18000 cost=0.5767275094985962 creg=0.062432384490966795
(0.52470000000000006, 0.96250000000000002, 0.99760000000000004)
(0.52100000000000002, 0.95730000000000004, 0.99790000000000001)
*it=19000 cost=0.5555652379989624 creg=0.062366061210632324
(0.53439999999999999, 0.96489999999999998, 0.99829999999999997)
(0.53259999999999996, 0.96460000000000001, 0.99829999999999997)
*it=20000 cost=0.5579837560653687 creg=0.062300858497619634
(0.53790000000000004, 0.96419999999999995, 0.99870000000000003)
(0.53000000000000003, 0.95950000000000002, 0.99819999999999998)
*it=21000 cost=0.5319684743881226 creg=0.062222833633422854
(0.54490000000000005, 0.96809999999999996, 0.99929999999999997)
(0.53849999999999998, 0.96640000000000004, 0.99819999999999998)
