*it=0 cost=1.3759028911590576 creg=0.3111922264099121
(0.37559999999999999, 0.85409999999999997, 0.98399999999999999)
(0.37730000000000002, 0.8579, 0.9859)
*it=1000 cost=1.1560534238815308 creg=0.30805740356445316
(0.42230000000000001, 0.89729999999999999, 0.9919)
(0.41899999999999998, 0.89580000000000004, 0.99150000000000005)
*it=2000 cost=1.069464921951294 creg=0.30456979274749757
(0.43219999999999997, 0.91639999999999999, 0.99390000000000001)
(0.43340000000000001, 0.90800000000000003, 0.99339999999999995)
*it=3000 cost=1.0248160362243652 creg=0.3009316205978394
(0.45369999999999999, 0.92269999999999996, 0.99480000000000002)
(0.4506, 0.91820000000000002, 0.99519999999999997)
*it=4000 cost=0.9290992617607117 creg=0.2972571849822998
(0.4778, 0.93830000000000002, 0.997)
(0.47189999999999999, 0.93920000000000003, 0.99619999999999997)
*it=5000 cost=0.9183492064476013 creg=0.2936094284057617
(0.47939999999999999, 0.94099999999999995, 0.99680000000000002)
(0.47689999999999999, 0.9355, 0.99519999999999997)
*it=6000 cost=0.9109889268875122 creg=0.28993628025054935
(0.4899, 0.94030000000000002, 0.99590000000000001)
(0.47510000000000002, 0.93720000000000003, 0.99519999999999997)
*it=7000 cost=0.8963793516159058 creg=0.28626379966735843
(0.4884, 0.94520000000000004, 0.99770000000000003)
(0.48759999999999998, 0.94510000000000005, 0.99790000000000001)
*it=8000 cost=0.8453919887542725 creg=0.28268914222717284
(0.51649999999999996, 0.95140000000000002, 0.99709999999999999)
(0.50470000000000004, 0.9546, 0.997)
*it=9000 cost=0.9186369180679321 creg=0.27907154560089115
(0.47299999999999998, 0.93630000000000002, 0.99770000000000003)
(0.4657, 0.93600000000000005, 0.997)
*it=10000 cost=0.8264075517654419 creg=0.27557780742645266
(0.51370000000000005, 0.95409999999999995, 0.99809999999999999)
(0.50629999999999997, 0.95720000000000005, 0.99709999999999999)
*it=11000 cost=0.7880288362503052 creg=0.2720914363861084
(0.5232, 0.96250000000000002, 0.99839999999999995)
(0.51600000000000001, 0.95760000000000001, 0.99839999999999995)
*it=12000 cost=0.8120478391647339 creg=0.26862237453460697
(0.50949999999999995, 0.95820000000000005, 0.99809999999999999)
(0.498, 0.9496, 0.99780000000000002)
*it=13000 cost=0.7441101670265198 creg=0.26521542072296145
(0.53639999999999999, 0.97030000000000005, 0.99880000000000002)
(0.5353, 0.9637, 0.99860000000000004)
*it=14000 cost=0.7997941374778748 creg=0.261810302734375
(0.51190000000000002, 0.95750000000000002, 0.99870000000000003)
(0.50800000000000001, 0.95909999999999995, 0.99860000000000004)
*it=15000 cost=0.8926694393157959 creg=0.2584978580474854
(0.4647, 0.94240000000000002, 0.99909999999999999)
(0.45300000000000001, 0.93559999999999999, 0.99790000000000001)
