(0.55469999999999997, 0.97430000000000005, 0.99839999999999995)
*it=36000 cost=0.5621325373649597 creg=0.11109991073608398
(0.5575, 0.97319999999999995, 0.99850000000000005)
(0.54669999999999996, 0.97030000000000005, 0.999)
*it=37000 cost=0.5439624786376953 creg=0.1106611156463623
(0.56689999999999996, 0.97499999999999998, 0.999)
(0.55840000000000001, 0.97489999999999999, 0.99839999999999995)
*it=38000 cost=0.5538288354873657 creg=0.11023809432983399
(0.55630000000000002, 0.97289999999999999, 0.99939999999999996)
(0.54759999999999998, 0.9698, 0.99829999999999997)
*it=39000 cost=0.5326634645462036 creg=0.10982131958007812
(0.57110000000000005, 0.97799999999999998, 0.999)
(0.56910000000000005, 0.97270000000000001, 0.99870000000000003)
*it=40000 cost=0.5184370279312134 creg=0.10938851356506347
(0.57750000000000001, 0.97809999999999997, 0.99950000000000006)
(0.55979999999999996, 0.97529999999999994, 0.99880000000000002)
*it=41000 cost=0.5422949194908142 creg=0.10895648002624513
(0.56389999999999996, 0.97509999999999997, 0.99890000000000001)
(0.56310000000000004, 0.97270000000000001, 0.99890000000000001)
*it=42000 cost=0.5441967844963074 creg=0.10851731300354005
(0.55830000000000002, 0.97629999999999995, 0.99929999999999997)
(0.56289999999999996, 0.97289999999999999, 0.99850000000000005)
*it=43000 cost=0.5736078023910522 creg=0.10808229446411133
(0.53979999999999995, 0.97260000000000002, 0.99929999999999997)
(0.54379999999999995, 0.96860000000000002, 0.99819999999999998)
*it=44000 cost=0.5533063411712646 creg=0.10765451431274414
(0.55410000000000004, 0.97419999999999995, 0.99929999999999997)
(0.54720000000000002, 0.96940000000000004, 0.998)
*it=45000 cost=0.5234540104866028 creg=0.1072433376312256
(0.57520000000000004, 0.97519999999999996, 0.99870000000000003)
(0.56110000000000004, 0.97289999999999999, 0.999)
*it=46000 cost=0.5325441360473633 creg=0.10680267333984375
(0.56079999999999997, 0.97760000000000002, 0.99919999999999998)
(0.56669999999999998, 0.97540000000000004, 0.99860000000000004)
*it=47000 cost=0.5467568635940552 creg=0.10638126373291015
(0.5675, 0.97219999999999995, 0.99850000000000005)
(0.56000000000000005, 0.96930000000000005, 0.998)
*it=48000 cost=0.5065336227416992 creg=0.10595077514648438
(0.57989999999999997, 0.97899999999999998, 0.99950000000000006)
(0.57289999999999996, 0.97850000000000004, 0.99950000000000006)
*it=49000 cost=0.49998635053634644 creg=0.10552868843078614
(0.5857, 0.98040000000000005, 0.99960000000000004)
(0.57369999999999999, 0.97870000000000001, 0.99960000000000004)
*it=50000 cost=0.5230852961540222 creg=0.10510310173034668
(0.56999999999999995, 0.97819999999999996, 0.99960000000000004)
(0.56930000000000003, 0.97709999999999997, 0.99929999999999997)
*it=51000 cost=0.5053039193153381 creg=0.1046737003326416
(0.5796, 0.98080000000000001, 0.999)
(0.57420000000000004, 0.97370000000000001, 0.99780000000000002)
*it=52000 cost=0.49037548899650574 creg=0.10424009323120118
(0.59250000000000003, 0.9798, 0.99909999999999999)
(0.57709999999999995, 0.9788, 0.99870000000000003)
*it=53000 cost=0.5482847690582275 creg=0.10381591796875
(0.55600000000000005, 0.97529999999999994, 0.99919999999999998)
(0.54479999999999995, 0.97130000000000005, 0.99860000000000004)
*it=54000 cost=0.48819291591644287 creg=0.10340370178222656
(0.58960000000000001, 0.98180000000000001, 0.99970000000000003)
(0.57599999999999996, 0.97509999999999997, 0.99909999999999999)
*it=55000 cost=0.475808709859848 creg=0.10298511505126953
(0.59970000000000001, 0.98329999999999995, 0.99909999999999999)
(0.58040000000000003, 0.97909999999999997, 0.99919999999999998)
*it=56000 cost=0.4905261993408203 creg=0.10257680892944336
(0.58909999999999996, 0.98180000000000001, 0.99960000000000004)
(0.56920000000000004, 0.97619999999999996, 0.99919999999999998)
*it=57000 cost=0.4865688979625702 creg=0.10215991973876953
(0.58889999999999998, 0.98229999999999995, 0.99980000000000002)
(0.57930000000000004, 0.97840000000000005, 0.99939999999999996)
*it=58000 cost=0.4792119264602661 creg=0.10175018310546875
(0.5998, 0.98240000000000005, 0.99929999999999997)
(0.5847, 0.9798, 0.99939999999999996)
*it=59000 cost=0.488193154335022 creg=0.1013330078125
(0.59130000000000005, 0.98070000000000002, 0.99929999999999997)
(0.57210000000000005, 0.97770000000000001, 0.99870000000000003)
*it=60000 cost=0.5066268444061279 creg=0.10092315673828126
(0.57669999999999999, 0.98040000000000005, 0.99950000000000006)
(0.56140000000000001, 0.97570000000000001, 0.99890000000000001)
*it=61000 cost=0.47310179471969604 creg=0.10051159858703614
(0.59289999999999998, 0.9849, 0.99919999999999998)
(0.58720000000000006, 0.97799999999999998, 0.999)
*it=62000 cost=0.4908045530319214 creg=0.1001040267944336
(0.59260000000000002, 0.97940000000000005, 0.999)
(0.57399999999999995, 0.97729999999999995, 0.99939999999999996)
*it=63000 cost=0.4825550615787506 creg=0.09970056533813476
(0.59909999999999997, 0.98040000000000005, 0.99950000000000006)
(0.57769999999999999, 0.97850000000000004, 0.99929999999999997)
*it=64000 cost=0.4660266935825348 creg=0.09930094718933105
(0.59789999999999999, 0.98429999999999995, 0.99980000000000002)
(0.59430000000000005, 0.97860000000000003, 0.99929999999999997)
*it=65000 cost=0.46438461542129517 creg=0.09889509201049805
(0.60519999999999996, 0.98529999999999995, 0.99950000000000006)
(0.59840000000000004, 0.98009999999999997, 0.99909999999999999)
*it=66000 cost=0.4906088411808014 creg=0.09851258277893067
(0.59030000000000005, 0.97989999999999999, 0.99890000000000001)
(0.57479999999999998, 0.98029999999999995, 0.99950000000000006)
*it=67000 cost=0.4753427803516388 creg=0.09812369346618653
(0.59130000000000005, 0.98240000000000005, 0.999)
(0.58750000000000002, 0.97719999999999996, 0.99890000000000001)
*it=68000 cost=0.4764188528060913 creg=0.09771661758422852
(0.59709999999999996, 0.9819, 0.99939999999999996)
(0.57989999999999997, 0.9788, 0.99950000000000006)
*it=69000 cost=0.4832993447780609 creg=0.09731569290161134
(0.59560000000000002, 0.98140000000000005, 0.99890000000000001)
(0.58130000000000004, 0.97909999999999997, 0.99839999999999995)
*it=70000 cost=0.45556116104125977 creg=0.0969190788269043
(0.60629999999999995, 0.98460000000000003, 0.99970000000000003)
(0.59660000000000002, 0.97960000000000003, 0.99890000000000001)
*it=71000 cost=0.4609062373638153 creg=0.09652265548706054
(0.60670000000000002, 0.98370000000000002, 0.99960000000000004)
(0.58740000000000003, 0.97589999999999999, 0.99850000000000005)
*it=72000 cost=0.45822370052337646 creg=0.09613396644592286
(0.59870000000000001, 0.98580000000000001, 0.99929999999999997)
(0.57979999999999998, 0.98380000000000001, 0.99970000000000003)
*it=73000 cost=0.48483020067214966 creg=0.09575628280639649
(0.58509999999999995, 0.98029999999999995, 0.99950000000000006)
(0.57120000000000004, 0.97919999999999996, 0.99990000000000001)
*it=74000 cost=0.49699079990386963 creg=0.09536533355712891
(0.57899999999999996, 0.97899999999999998, 0.99950000000000006)
(0.56850000000000001, 0.97729999999999995, 0.99890000000000001)
*it=75000 cost=0.4652864336967468 creg=0.09497486114501953
(0.59750000000000003, 0.98199999999999998, 0.99980000000000002)
(0.58919999999999995, 0.9798, 0.99929999999999997)
