*it=36000 cost=0.7975826859474182 creg=0.3197639846801758
(0.54279999999999995, 0.96799999999999997, 0.99819999999999998)
(0.53490000000000004, 0.96509999999999996, 0.99909999999999999)
*it=37000 cost=0.7830635905265808 creg=0.3180179023742676
(0.55189999999999995, 0.96940000000000004, 0.99890000000000001)
(0.54859999999999998, 0.9698, 0.99850000000000005)
*it=38000 cost=0.8096081018447876 creg=0.31626935958862307
(0.53139999999999998, 0.96589999999999998, 0.99919999999999998)
(0.53090000000000004, 0.96130000000000004, 0.998)
*it=39000 cost=0.7819028496742249 creg=0.3145456314086914
(0.54610000000000003, 0.97140000000000004, 0.999)
(0.53990000000000005, 0.96550000000000002, 0.99839999999999995)
*it=40000 cost=0.761422872543335 creg=0.31282493591308597
(0.55769999999999997, 0.97109999999999996, 0.99870000000000003)
(0.5444, 0.96509999999999996, 0.99850000000000005)
*it=41000 cost=0.7938798666000366 creg=0.3110911178588867
(0.54279999999999995, 0.9647, 0.99890000000000001)
(0.54379999999999995, 0.96579999999999999, 0.99870000000000003)
*it=42000 cost=0.797288179397583 creg=0.30937345504760744
(0.53610000000000002, 0.96689999999999998, 0.99850000000000005)
(0.53939999999999999, 0.96630000000000005, 0.99880000000000002)
*it=43000 cost=0.7869170904159546 creg=0.30766794204711917
(0.5353, 0.96789999999999998, 0.999)
(0.5403, 0.96689999999999998, 0.99819999999999998)
*it=44000 cost=0.7816330194473267 creg=0.3059638786315918
(0.54249999999999998, 0.97060000000000002, 0.999)
(0.53739999999999999, 0.96689999999999998, 0.99839999999999995)
*it=45000 cost=0.7842603325843811 creg=0.3042932510375977
(0.54830000000000001, 0.96509999999999996, 0.99850000000000005)
(0.53659999999999997, 0.96299999999999997, 0.99909999999999999)
*it=46000 cost=0.7903809547424316 creg=0.30259519577026367
(0.53239999999999998, 0.96970000000000001, 0.99880000000000002)
(0.52549999999999997, 0.96689999999999998, 0.99870000000000003)
*it=47000 cost=0.7526290416717529 creg=0.3009333038330078
(0.55979999999999996, 0.96970000000000001, 0.99860000000000004)
(0.55469999999999997, 0.97050000000000003, 0.99839999999999995)
*it=48000 cost=0.727198600769043 creg=0.2992658042907715
(0.56430000000000002, 0.97829999999999995, 0.99909999999999999)
(0.56479999999999997, 0.97360000000000002, 0.99929999999999997)
*it=49000 cost=0.7241758108139038 creg=0.29761705398559574
(0.57130000000000003, 0.9768, 0.99929999999999997)
(0.55800000000000005, 0.97740000000000005, 0.99939999999999996)
*it=50000 cost=0.746182382106781 creg=0.29596456527709963
(0.55389999999999995, 0.97340000000000004, 0.999)
(0.55130000000000001, 0.97289999999999999, 0.999)
*it=51000 cost=0.7265089154243469 creg=0.29433860778808596
(0.56440000000000001, 0.97570000000000001, 0.99919999999999998)
(0.55769999999999997, 0.96789999999999998, 0.99790000000000001)
*it=52000 cost=0.7216415405273438 creg=0.2927084541320801
(0.56479999999999997, 0.97640000000000005, 0.99890000000000001)
(0.56030000000000002, 0.97160000000000002, 0.99839999999999995)
*it=53000 cost=0.7808148264884949 creg=0.2910713577270508
(0.53469999999999995, 0.96599999999999997, 0.999)
(0.5181, 0.96489999999999998, 0.99829999999999997)
*it=54000 cost=0.7032942771911621 creg=0.2894681167602539
(0.56999999999999995, 0.97909999999999997, 0.99929999999999997)
(0.5575, 0.9728, 0.99909999999999999)
*it=55000 cost=0.7034025192260742 creg=0.28786468505859375
(0.57450000000000001, 0.97760000000000002, 0.99890000000000001)
(0.56950000000000001, 0.97370000000000001, 0.99890000000000001)
*it=56000 cost=0.6953250169754028 creg=0.2862679672241211
(0.57730000000000004, 0.97999999999999998, 0.99919999999999998)
(0.5655, 0.97389999999999999, 0.99870000000000003)
*it=57000 cost=0.7049481868743896 creg=0.2846993637084961
(0.57399999999999995, 0.97440000000000004, 0.99939999999999996)
(0.55789999999999995, 0.97319999999999995, 0.99939999999999996)
*it=58000 cost=0.6902966499328613 creg=0.2831216239929199
(0.57930000000000004, 0.97840000000000005, 0.99939999999999996)
(0.56379999999999997, 0.97519999999999996, 0.99929999999999997)
*it=59000 cost=0.7198761701583862 creg=0.2815564155578613
(0.56310000000000004, 0.97199999999999998, 0.99880000000000002)
(0.55720000000000003, 0.97209999999999996, 0.99870000000000003)
*it=60000 cost=0.7037518620491028 creg=0.2799993133544922
(0.5706, 0.97709999999999997, 0.99950000000000006)
(0.5605, 0.9728, 0.99919999999999998)
*it=61000 cost=0.699250340461731 creg=0.27844528198242186
(0.56799999999999995, 0.9768, 0.99890000000000001)
(0.56520000000000004, 0.97470000000000001, 0.99870000000000003)
*it=62000 cost=0.7075194120407104 creg=0.2769030570983887
(0.56520000000000004, 0.97540000000000004, 0.99909999999999999)
(0.55730000000000002, 0.96999999999999997, 0.999)
*it=63000 cost=0.6856316328048706 creg=0.27537883758544923
(0.57269999999999999, 0.97570000000000001, 0.99929999999999997)
(0.56610000000000005, 0.97450000000000003, 0.99870000000000003)
*it=64000 cost=0.6862760782241821 creg=0.2738557815551758
(0.5706, 0.97770000000000001, 0.99970000000000003)
(0.5766, 0.97150000000000003, 0.999)
*it=65000 cost=0.6660575866699219 creg=0.2723386764526367
(0.58650000000000002, 0.98170000000000002, 0.99950000000000006)
(0.57899999999999996, 0.97899999999999998, 0.99880000000000002)
*it=66000 cost=0.686514139175415 creg=0.27083438873291016
(0.57140000000000002, 0.97689999999999999, 0.99890000000000001)
(0.56730000000000003, 0.97619999999999996, 0.99950000000000006)
*it=67000 cost=0.6775902509689331 creg=0.2693491554260254
(0.57899999999999996, 0.97799999999999998, 0.99909999999999999)
(0.56789999999999996, 0.97399999999999998, 0.99850000000000005)
*it=68000 cost=0.6823616027832031 creg=0.2678477478027344
(0.57430000000000003, 0.97889999999999999, 0.99909999999999999)
(0.55659999999999998, 0.97550000000000003, 0.99950000000000006)
*it=69000 cost=0.705915093421936 creg=0.2663715362548828
(0.56610000000000005, 0.97519999999999996, 0.99860000000000004)
(0.55659999999999998, 0.97160000000000002, 0.998)
*it=70000 cost=0.6514076590538025 creg=0.26488920211791994
(0.59219999999999995, 0.98260000000000003, 0.999)
(0.58940000000000003, 0.97709999999999997, 0.99909999999999999)
*it=71000 cost=0.6574269533157349 creg=0.26342750549316407
(0.59330000000000005, 0.98009999999999997, 0.99960000000000004)
(0.57310000000000005, 0.9728, 0.99850000000000005)
*it=72000 cost=0.6551642417907715 creg=0.2619851303100586
(0.58609999999999995, 0.98119999999999996, 0.99909999999999999)
(0.57110000000000005, 0.97960000000000003, 0.99929999999999997)
*it=73000 cost=0.6554834842681885 creg=0.26053653717041014
(0.58050000000000002, 0.98150000000000004, 0.99929999999999997)
(0.5766, 0.9778, 0.99950000000000006)
*it=74000 cost=0.6700026988983154 creg=0.25910942077636717
(0.57730000000000004, 0.97770000000000001, 0.99939999999999996)
(0.56269999999999998, 0.97619999999999996, 0.99890000000000001)
*it=75000 cost=0.656615138053894 creg=0.2576696014404297
(0.57789999999999997, 0.98040000000000005, 0.99919999999999998)
(0.56840000000000002, 0.9768, 0.99929999999999997)
*it=76000 cost=0.6486474275588989 creg=0.2562558937072754
(0.59250000000000003, 0.97870000000000001, 0.999)
(0.58260000000000001, 0.97840000000000005, 0.99880000000000002)
*it=77000 cost=0.6532779335975647 creg=0.254851245880127
(0.57840000000000003, 0.98119999999999996, 0.99990000000000001)
(0.57720000000000005, 0.97589999999999999, 0.99870000000000003)
*it=78000 cost=0.6565967798233032 creg=0.2534580612182617
(0.58150000000000002, 0.9778, 0.99929999999999997)
(0.57920000000000005, 0.97609999999999997, 0.99839999999999995)
*it=79000 cost=0.6553030014038086 creg=0.2520730018615723
(0.57720000000000005, 0.97909999999999997, 0.99939999999999996)
(0.57450000000000001, 0.97470000000000001, 0.99890000000000001)
*it=80000 cost=0.651656448841095 creg=0.25069103240966795
(0.5847, 0.9798, 0.99919999999999998)
(0.57809999999999995, 0.97609999999999997, 0.99890000000000001)
*it=81000 cost=0.6491647362709045 creg=0.24931247711181642
(0.58050000000000002, 0.97899999999999998, 0.99950000000000006)
(0.57250000000000001, 0.97660000000000002, 0.99939999999999996)
*it=82000 cost=0.6390625834465027 creg=0.2479464912414551
(0.5857, 0.98280000000000001, 0.99939999999999996)
(0.57989999999999997, 0.97689999999999999, 0.99919999999999998)
*it=83000 cost=0.6477307081222534 creg=0.24657819747924806
(0.58420000000000005, 0.97840000000000005, 0.99909999999999999)
