*it=0 cost=1.711349368095398 creg=0.37381877899169924
(0.32729999999999998, 0.80610000000000004, 0.96870000000000001)
(0.33650000000000002, 0.80989999999999995, 0.97119999999999995)
*it=1000 cost=2.1835434436798096 creg=0.37232078552246095
(0.24990000000000001, 0.71509999999999996, 0.94999999999999996)
(0.24110000000000001, 0.70679999999999998, 0.94999999999999996)
*it=2000 cost=1.4139456748962402 creg=0.3706099319458008
(0.37819999999999998, 0.85729999999999995, 0.98550000000000004)
(0.36220000000000002, 0.84509999999999996, 0.98419999999999996)
*it=3000 cost=1.2574067115783691 creg=0.368768196105957
(0.41089999999999999, 0.88729999999999998, 0.9899)
(0.40389999999999998, 0.88480000000000003, 0.98939999999999995)
*it=4000 cost=1.1164408922195435 creg=0.3668880844116211
(0.4446, 0.92120000000000002, 0.99339999999999995)
(0.44600000000000001, 0.92220000000000002, 0.99460000000000004)
*it=5000 cost=1.1108968257904053 creg=0.36497581481933594
(0.44940000000000002, 0.91600000000000004, 0.99450000000000005)
(0.44600000000000001, 0.91120000000000001, 0.99099999999999999)
*it=6000 cost=1.308422565460205 creg=0.363055534362793
(0.38800000000000001, 0.88149999999999995, 0.9899)
(0.3881, 0.87519999999999998, 0.98750000000000004)
*it=7000 cost=1.0360459089279175 creg=0.3611260223388672
(0.4617, 0.9325, 0.99639999999999995)
(0.46350000000000002, 0.9345, 0.99729999999999996)
*it=8000 cost=0.9948288202285767 creg=0.359211311340332
(0.48370000000000002, 0.93959999999999999, 0.99639999999999995)
(0.48380000000000001, 0.93869999999999998, 0.99680000000000002)
*it=9000 cost=1.048994779586792 creg=0.3572721099853516
(0.45669999999999999, 0.93030000000000002, 0.99650000000000005)
(0.45219999999999999, 0.92669999999999997, 0.99539999999999995)
*it=10000 cost=1.001686930656433 creg=0.35535655975341796
(0.4753, 0.93879999999999997, 0.99660000000000004)
(0.47649999999999998, 0.93889999999999996, 0.99639999999999995)
*it=11000 cost=0.9267704486846924 creg=0.35345672607421874
(0.50949999999999995, 0.95009999999999994, 0.99760000000000004)
(0.49530000000000002, 0.94589999999999996, 0.99739999999999995)
*it=12000 cost=0.9151239395141602 creg=0.3515298080444336
(0.50839999999999996, 0.9506, 0.99760000000000004)
(0.50039999999999996, 0.94750000000000001, 0.99750000000000005)
*it=13000 cost=0.8999954462051392 creg=0.34961585998535155
(0.50900000000000001, 0.95669999999999999, 0.99819999999999998)
(0.51819999999999999, 0.95620000000000005, 0.99760000000000004)
*it=14000 cost=1.0167598724365234 creg=0.34769466400146487
(0.45610000000000001, 0.93410000000000004, 0.99719999999999998)
(0.45119999999999999, 0.94169999999999998, 0.99709999999999999)
*it=15000 cost=1.1088017225265503 creg=0.3457986450195313
(0.41909999999999997, 0.91669999999999996, 0.99590000000000001)
(0.41420000000000001, 0.91369999999999996, 0.99580000000000002)
*it=16000 cost=0.9088088274002075 creg=0.3439355850219727
(0.50609999999999999, 0.95340000000000003, 0.99709999999999999)
(0.50849999999999995, 0.95499999999999996, 0.99729999999999996)
*it=17000 cost=0.8578885793685913 creg=0.3420620346069336
(0.52510000000000001, 0.96319999999999995, 0.99870000000000003)
(0.52359999999999995, 0.96130000000000004, 0.99809999999999999)
*it=18000 cost=0.9136675000190735 creg=0.34017860412597656
(0.50049999999999994, 0.95369999999999999, 0.99719999999999998)
(0.49719999999999998, 0.95220000000000005, 0.99829999999999997)
*it=19000 cost=0.8943002820014954 creg=0.33833320617675783
(0.51500000000000001, 0.95179999999999998, 0.99760000000000004)
(0.5161, 0.95599999999999996, 0.99760000000000004)
*it=20000 cost=0.8720142245292664 creg=0.3364939880371094
(0.5232, 0.95569999999999999, 0.99770000000000003)
(0.51739999999999997, 0.95689999999999997, 0.99750000000000005)
*it=21000 cost=0.8602093458175659 creg=0.334644889831543
(0.52239999999999998, 0.95740000000000003, 0.99880000000000002)
(0.52070000000000005, 0.95979999999999999, 0.99719999999999998)
*it=22000 cost=0.8219313621520996 creg=0.3328047180175781
(0.53449999999999998, 0.96750000000000003, 0.99880000000000002)
(0.53759999999999997, 0.96409999999999996, 0.99890000000000001)
*it=23000 cost=0.8249955177307129 creg=0.330994987487793
(0.53590000000000004, 0.96530000000000005, 0.999)
(0.52710000000000001, 0.96120000000000005, 0.99780000000000002)
*it=24000 cost=0.8336324691772461 creg=0.32919418334960937
(0.52439999999999998, 0.96350000000000002, 0.999)
(0.52280000000000004, 0.96189999999999998, 0.998)
*it=25000 cost=0.8133605718612671 creg=0.32739154815673827
(0.53839999999999999, 0.96719999999999995, 0.99860000000000004)
(0.52529999999999999, 0.96779999999999999, 0.999)
*it=26000 cost=0.8753311634063721 creg=0.3255976486206055
(0.50619999999999998, 0.9556, 0.99909999999999999)
(0.50419999999999998, 0.95489999999999997, 0.998)
*it=27000 cost=0.8014174103736877 creg=0.3238397216796875
(0.54069999999999996, 0.96740000000000004, 0.99909999999999999)
(0.54310000000000003, 0.96699999999999997, 0.99850000000000005)
*it=28000 cost=0.7953039407730103 creg=0.3220926666259766
(0.5554, 0.96630000000000005, 0.99870000000000003)
(0.53620000000000001, 0.96050000000000002, 0.99770000000000003)
*it=29000 cost=0.8015357255935669 creg=0.32034687042236326
(0.54200000000000004, 0.96779999999999999, 0.99850000000000005)
(0.5454, 0.96430000000000005, 0.99860000000000004)
*it=30000 cost=0.7563834190368652 creg=0.31861339569091796
(0.56210000000000004, 0.97170000000000001, 0.99970000000000003)
(0.55010000000000003, 0.97009999999999996, 0.99880000000000002)
*it=31000 cost=0.7921322584152222 creg=0.31688724517822264
(0.54449999999999998, 0.96760000000000002, 0.99960000000000004)
(0.54079999999999995, 0.9677, 0.99880000000000002)
*it=32000 cost=0.76832115650177 creg=0.31517927169799803
(0.54659999999999997, 0.97350000000000003, 0.99929999999999997)
(0.55120000000000002, 0.96689999999999998, 0.99860000000000004)
*it=33000 cost=0.7726964354515076 creg=0.31349205017089843
(0.55300000000000005, 0.9708, 0.99880000000000002)
(0.54820000000000002, 0.96550000000000002, 0.99850000000000005)
*it=34000 cost=0.7535741329193115 creg=0.31178298950195316
(0.55789999999999995, 0.97470000000000001, 0.99909999999999999)
(0.55789999999999995, 0.9698, 0.99919999999999998)
*it=35000 cost=0.7769232988357544 creg=0.3100756645202637
(0.5464, 0.96940000000000004, 0.999)
(0.54110000000000003, 0.96850000000000003, 0.99839999999999995)
*it=36000 cost=0.7437158226966858 creg=0.3083998489379883
(0.56630000000000003, 0.97430000000000005, 0.99839999999999995)
(0.55469999999999997, 0.97219999999999995, 0.99929999999999997)
*it=37000 cost=0.748502254486084 creg=0.3067207908630371
(0.56169999999999998, 0.9738, 0.99870000000000003)
(0.55200000000000005, 0.97499999999999998, 0.99860000000000004)
*it=38000 cost=0.7521997690200806 creg=0.3050496292114258
(0.55579999999999996, 0.97309999999999997, 0.99929999999999997)
(0.5494, 0.96950000000000003, 0.99839999999999995)
*it=39000 cost=0.7212520837783813 creg=0.30339042663574217
(0.57499999999999996, 0.97609999999999997, 0.99919999999999998)
(0.55979999999999996, 0.97219999999999995, 0.99850000000000005)
*it=40000 cost=0.7151744961738586 creg=0.3017341423034668
(0.57350000000000001, 0.97740000000000005, 0.99919999999999998)
(0.55789999999999995, 0.97140000000000004, 0.99880000000000002)
*it=41000 cost=0.7569265365600586 creg=0.30007938385009764
(0.55740000000000001, 0.96989999999999998, 0.99850000000000005)
(0.54869999999999997, 0.96989999999999998, 0.99870000000000003)
*it=42000 cost=0.7321008443832397 creg=0.298427791595459
(0.56359999999999999, 0.97599999999999998, 0.99860000000000004)
(0.56179999999999997, 0.97099999999999997, 0.99880000000000002)
*it=43000 cost=0.7643636465072632 creg=0.2967786598205566
(0.54069999999999996, 0.97099999999999997, 0.99870000000000003)
(0.54120000000000001, 0.96809999999999996, 0.99870000000000003)
*it=44000 cost=0.7420650720596313 creg=0.29515098571777343
(0.55120000000000002, 0.97509999999999997, 0.99909999999999999)
(0.54390000000000005, 0.97060000000000002, 0.99850000000000005)
*it=45000 cost=0.727401614189148 creg=0.29355022430419925
(0.56740000000000002, 0.97350000000000003, 0.99890000000000001)
(0.56089999999999995, 0.97199999999999998, 0.99909999999999999)
*it=46000 cost=0.7387273907661438 creg=0.2919244575500488
(0.55279999999999996, 0.97460000000000002, 0.99890000000000001)
(0.55379999999999996, 0.97170000000000001, 0.99870000000000003)
*it=47000 cost=0.7071349620819092 creg=0.29032173156738283
(0.57599999999999996, 0.97609999999999997, 0.99880000000000002)
(0.57210000000000005, 0.97570000000000001, 0.99880000000000002)
*it=48000 cost=0.6964608430862427 creg=0.28872161865234375
(0.57889999999999997, 0.97840000000000005, 0.99919999999999998)
(0.5726, 0.97760000000000002, 0.99950000000000006)
*it=49000 cost=0.691349446773529 creg=0.28713279724121094
(0.58389999999999997, 0.97789999999999999, 0.99919999999999998)
(0.56389999999999996, 0.97919999999999996, 0.99950000000000006)
*it=50000 cost=0.7035441398620605 creg=0.2855500030517578
(0.57399999999999995, 0.97870000000000001, 0.99929999999999997)
(0.56310000000000004, 0.9768, 0.99890000000000001)
*it=51000 cost=0.7286121845245361 creg=0.2839736175537109
(0.55659999999999998, 0.97570000000000001, 0.99860000000000004)
(0.54449999999999998, 0.96750000000000003, 0.99719999999999998)
*it=52000 cost=0.6729464530944824 creg=0.28239484786987307
(0.5907, 0.98089999999999999, 0.99929999999999997)
(0.57899999999999996, 0.97640000000000005, 0.99880000000000002)
*it=53000 cost=0.7046492099761963 creg=0.28083269119262694
(0.56759999999999999, 0.97819999999999996, 0.99929999999999997)
(0.56240000000000001, 0.97440000000000004, 0.99890000000000001)
*it=54000 cost=0.6756076812744141 creg=0.2792866325378418
(0.5847, 0.98180000000000001, 0.99950000000000006)
(0.56399999999999995, 0.97540000000000004, 0.99929999999999997)
*it=55000 cost=0.6667329668998718 creg=0.27775201797485355
(0.59260000000000002, 0.98180000000000001, 0.99929999999999997)
(0.58199999999999996, 0.97699999999999998, 0.99870000000000003)
*it=56000 cost=0.6581579446792603 creg=0.27621910095214847
(0.59209999999999996, 0.98329999999999995, 0.99919999999999998)
(0.57850000000000001, 0.97719999999999996, 0.99909999999999999)
*it=57000 cost=0.6661089658737183 creg=0.2747101020812988
(0.58650000000000002, 0.98050000000000004, 0.99970000000000003)
(0.58230000000000004, 0.9758, 0.99919999999999998)
*it=58000 cost=0.6534131169319153 creg=0.27319093704223635
(0.6008, 0.9819, 0.99939999999999996)
(0.58460000000000001, 0.97989999999999999, 0.99929999999999997)
*it=59000 cost=0.6742985248565674 creg=0.271692066192627
(0.58499999999999996, 0.97870000000000001, 0.99919999999999998)
(0.56950000000000001, 0.97550000000000003, 0.99870000000000003)
*it=60000 cost=0.6644238233566284 creg=0.27018444061279295
(0.58450000000000002, 0.98119999999999996, 0.99950000000000006)
(0.57150000000000001, 0.97650000000000003, 0.99939999999999996)
*it=61000 cost=0.6650996208190918 creg=0.2687069320678711
(0.58540000000000003, 0.98129999999999995, 0.99939999999999996)
(0.57509999999999994, 0.97660000000000002, 0.99870000000000003)
*it=62000 cost=0.6634300947189331 creg=0.26722068786621095
(0.58540000000000003, 0.97709999999999997, 0.99919999999999998)
(0.57220000000000004, 0.97589999999999999, 0.99909999999999999)
*it=63000 cost=0.6419824361801147 creg=0.265752010345459
(0.60089999999999999, 0.98089999999999999, 0.99929999999999997)
(0.58320000000000005, 0.97809999999999997, 0.99929999999999997)
*it=64000 cost=0.6470615267753601 creg=0.26429033279418945
(0.58730000000000004, 0.98319999999999996, 0.99950000000000006)
(0.5907, 0.9778, 0.99850000000000005)
*it=65000 cost=0.6405220031738281 creg=0.262825927734375
(0.59240000000000004, 0.98380000000000001, 0.99950000000000006)
(0.58830000000000005, 0.98129999999999995, 0.999)
*it=66000 cost=0.6579673290252686 creg=0.26138294219970704
(0.59089999999999998, 0.97740000000000005, 0.99909999999999999)
(0.57640000000000002, 0.97909999999999997, 0.99960000000000004)
*it=67000 cost=0.6502439975738525 creg=0.259946231842041
(0.58550000000000002, 0.98180000000000001, 0.99939999999999996)
(0.57789999999999997, 0.97560000000000002, 0.99939999999999996)
*it=68000 cost=0.6550968885421753 creg=0.2585088920593262
(0.58460000000000001, 0.98089999999999999, 0.99909999999999999)
(0.56930000000000003, 0.97650000000000003, 0.99929999999999997)
*it=69000 cost=0.6456995010375977 creg=0.2570901298522949
(0.59309999999999996, 0.98250000000000004, 0.99880000000000002)
(0.57630000000000003, 0.97760000000000002, 0.99829999999999997)
*it=70000 cost=0.6144859790802002 creg=0.2556704330444336
(0.60250000000000004, 0.98619999999999997, 0.99939999999999996)
(0.59419999999999995, 0.9819, 0.999)
*it=71000 cost=0.6212639212608337 creg=0.25427297592163084
(0.60719999999999996, 0.9829, 0.99950000000000006)
(0.58240000000000003, 0.97760000000000002, 0.99870000000000003)
*it=72000 cost=0.6119793653488159 creg=0.25287666320800783
(0.60209999999999997, 0.98599999999999999, 0.99939999999999996)
(0.58279999999999998, 0.98160000000000003, 0.99950000000000006)
*it=73000 cost=0.6334007978439331 creg=0.25147863388061525
(0.58819999999999995, 0.98319999999999996, 0.99929999999999997)
(0.57930000000000004, 0.9788, 0.99990000000000001)
*it=74000 cost=0.6463103890419006 creg=0.2501008796691895
(0.58109999999999995, 0.98040000000000005, 0.99939999999999996)
(0.5756, 0.97970000000000002, 0.99890000000000001)
*it=75000 cost=0.6443595886230469 creg=0.24871698379516602
(0.57950000000000002, 0.97960000000000003, 0.99970000000000003)
(0.5716, 0.97760000000000002, 0.99939999999999996)
*it=76000 cost=0.6262346506118774 creg=0.2473565673828125
(0.59730000000000005, 0.98099999999999998, 0.99950000000000006)
(0.58740000000000003, 0.97929999999999995, 0.99929999999999997)
*it=77000 cost=0.6230393052101135 creg=0.24600887298583984
(0.59060000000000001, 0.98419999999999996, 0.99980000000000002)
(0.58379999999999999, 0.97850000000000004, 0.999)
*it=78000 cost=0.6354677081108093 creg=0.24466777801513673
(0.58850000000000002, 0.98170000000000002, 0.99919999999999998)
(0.57740000000000002, 0.97650000000000003, 0.99880000000000002)
*it=79000 cost=0.6092973947525024 creg=0.24334592819213868
(0.60160000000000002, 0.98340000000000005, 0.99970000000000003)
(0.59350000000000003, 0.97970000000000002, 0.99919999999999998)
*it=80000 cost=0.6116698384284973 creg=0.24201087951660158
(0.60229999999999995, 0.98360000000000003, 0.99950000000000006)
(0.59040000000000004, 0.97899999999999998, 0.99909999999999999)
*it=81000 cost=0.6102343797683716 creg=0.2406877326965332
(0.59960000000000002, 0.9839, 0.99960000000000004)
(0.58140000000000003, 0.97870000000000001, 0.99939999999999996)
*it=82000 cost=0.6131431460380554 creg=0.239373836517334
(0.59730000000000005, 0.98440000000000005, 0.99929999999999997)
(0.57789999999999997, 0.9788, 0.99939999999999996)
*it=83000 cost=0.6247732639312744 creg=0.23805227279663085
(0.58840000000000003, 0.98350000000000004, 0.99960000000000004)
(0.57120000000000004, 0.97789999999999999, 0.999)
*it=84000 cost=0.6068018674850464 creg=0.23676321029663086
(0.59470000000000001, 0.98429999999999995, 0.99939999999999996)
(0.58919999999999995, 0.98070000000000002, 0.999)
*it=85000 cost=0.5928681492805481 creg=0.23547269821166994
(0.61160000000000003, 0.98540000000000005, 0.99939999999999996)
(0.60099999999999998, 0.98170000000000002, 0.99890000000000001)
*it=86000 cost=0.6035789251327515 creg=0.23418413162231447
(0.59799999999999998, 0.98399999999999999, 0.99929999999999997)
(0.59260000000000002, 0.97840000000000005, 0.99860000000000004)
*it=87000 cost=0.596722424030304 creg=0.23291675567626954
(0.60060000000000002, 0.98499999999999999, 0.99919999999999998)
(0.58830000000000005, 0.98140000000000005, 0.99919999999999998)
*it=88000 cost=0.5811898112297058 creg=0.2316529655456543
(0.60829999999999995, 0.98660000000000003, 0.99960000000000004)
(0.59309999999999996, 0.9839, 0.99980000000000002)
*it=89000 cost=0.5782896280288696 creg=0.23039283752441406
(0.61619999999999997, 0.98529999999999995, 0.99960000000000004)
(0.59309999999999996, 0.98140000000000005, 0.999)
*it=90000 cost=0.596240222454071 creg=0.22914453506469726
(0.6018, 0.98429999999999995, 0.99939999999999996)
(0.59140000000000004, 0.98029999999999995, 0.99929999999999997)
*it=91000 cost=0.625410795211792 creg=0.227904052734375
(0.58030000000000004, 0.98240000000000005, 0.999)
(0.55559999999999998, 0.97489999999999999, 0.99960000000000004)
*it=92000 cost=0.5813359022140503 creg=0.22667329788208007
(0.60909999999999997, 0.98509999999999998, 0.99990000000000001)
(0.5958, 0.97999999999999998, 0.99890000000000001)
*it=93000 cost=0.6143567562103271 creg=0.22544086456298829
(0.58660000000000001, 0.98129999999999995, 0.99929999999999997)
(0.57069999999999999, 0.97940000000000005, 0.99929999999999997)
*it=94000 cost=0.5834149718284607 creg=0.2242191505432129
(0.60729999999999995, 0.9849, 1.0)
