*it=0 cost=1.1900365352630615 creg=0.1257924461364746
(0.37930000000000003, 0.85409999999999997, 0.98370000000000002)
(0.37909999999999999, 0.85980000000000001, 0.9859)
*it=1000 cost=0.9919065237045288 creg=0.12567953109741212
(0.41860000000000003, 0.89419999999999999, 0.99099999999999999)
(0.41570000000000001, 0.89280000000000004, 0.99019999999999997)
*it=2000 cost=0.8948721289634705 creg=0.12540775299072265
(0.4345, 0.91649999999999998, 0.99350000000000005)
(0.4279, 0.9093, 0.99419999999999997)
*it=3000 cost=0.8207636475563049 creg=0.125046968460083
(0.4627, 0.92789999999999995, 0.99560000000000004)
(0.4531, 0.91959999999999997, 0.995)
*it=4000 cost=0.7634061574935913 creg=0.12464572906494141
(0.4753, 0.93769999999999998, 0.99729999999999996)
(0.4748, 0.93540000000000001, 0.99629999999999996)
*it=5000 cost=0.73369300365448 creg=0.12424031257629395
(0.48970000000000002, 0.9415, 0.99709999999999999)
(0.48270000000000002, 0.93889999999999996, 0.99590000000000001)
*it=6000 cost=0.757731020450592 creg=0.12380234718322754
(0.48330000000000001, 0.94079999999999997, 0.99660000000000004)
(0.47349999999999998, 0.93269999999999997, 0.99539999999999995)
*it=7000 cost=0.7189958691596985 creg=0.1233456039428711
(0.49299999999999999, 0.94640000000000002, 0.99739999999999995)
(0.4909, 0.94679999999999997, 0.99750000000000005)
*it=8000 cost=0.6739006042480469 creg=0.12290523529052734
(0.51449999999999996, 0.95530000000000004, 0.99739999999999995)
(0.51190000000000002, 0.95309999999999995, 0.99750000000000005)
*it=9000 cost=0.7651835083961487 creg=0.12241954803466797
(0.4647, 0.9405, 0.99670000000000003)
(0.46100000000000002, 0.93630000000000002, 0.99670000000000003)
*it=10000 cost=0.6590973138809204 creg=0.12196555137634278
(0.51549999999999996, 0.95640000000000003, 0.99860000000000004)
(0.51119999999999999, 0.95709999999999995, 0.99719999999999998)
*it=11000 cost=0.6380593776702881 creg=0.12149516105651856
(0.52529999999999999, 0.96260000000000001, 0.99780000000000002)
(0.51970000000000005, 0.95520000000000005, 0.99829999999999997)
*it=12000 cost=0.6523809432983398 creg=0.12100735664367676
(0.51959999999999995, 0.95689999999999997, 0.99809999999999999)
(0.50760000000000005, 0.95399999999999996, 0.99729999999999996)
*it=13000 cost=0.5970204472541809 creg=0.1205256462097168
(0.53580000000000005, 0.97009999999999996, 0.99860000000000004)
(0.53269999999999995, 0.96440000000000003, 0.99790000000000001)
*it=14000 cost=0.6601857542991638 creg=0.12002800941467286
(0.51480000000000004, 0.95750000000000002, 0.99829999999999997)
(0.51200000000000001, 0.95950000000000002, 0.99890000000000001)
*it=15000 cost=0.7556974291801453 creg=0.11954201698303223
(0.46389999999999998, 0.94310000000000005, 0.99809999999999999)
(0.45269999999999999, 0.93810000000000004, 0.99780000000000002)
*it=16000 cost=0.6142356395721436 creg=0.11908120155334473
(0.53159999999999996, 0.96560000000000001, 0.99860000000000004)
(0.5333, 0.9627, 0.99829999999999997)
*it=17000 cost=0.5832343101501465 creg=0.1185972023010254
(0.55210000000000004, 0.97140000000000004, 0.99839999999999995)
(0.53990000000000005, 0.96830000000000005, 0.99829999999999997)
*it=18000 cost=0.623805046081543 creg=0.11809941291809083
(0.52790000000000004, 0.96679999999999999, 0.99809999999999999)
