*it=0 cost=4.5074663162231445 creg=2.887745475769043
(0.31359999999999999, 0.76980000000000004, 0.94699999999999995)
(0.30520000000000003, 0.76070000000000004, 0.94799999999999995)
*it=1000 cost=4.307962417602539 creg=2.8466384887695315
(0.3397, 0.79559999999999997, 0.95679999999999998)
(0.3367, 0.79879999999999995, 0.95420000000000005)
*it=2000 cost=4.0880961418151855 creg=2.8048103332519534
(0.35460000000000003, 0.82969999999999999, 0.96799999999999997)
(0.35610000000000003, 0.81779999999999997, 0.96440000000000003)
*it=3000 cost=4.1294708251953125 creg=2.7633058547973635
(0.35759999999999997, 0.81110000000000004, 0.96279999999999999)
(0.34649999999999997, 0.81040000000000001, 0.96089999999999998)
*it=4000 cost=3.9804320335388184 creg=2.722174644470215
(0.37080000000000002, 0.83260000000000001, 0.96809999999999996)
(0.36830000000000002, 0.83150000000000002, 0.96940000000000004)
*it=5000 cost=3.9397330284118652 creg=2.681532859802246
(0.36680000000000001, 0.83540000000000003, 0.96730000000000005)
(0.38, 0.8347, 0.96960000000000002)
*it=6000 cost=3.834117889404297 creg=2.6413875579833985
(0.37380000000000002, 0.84009999999999996, 0.97309999999999997)
(0.37059999999999998, 0.8417, 0.97250000000000003)
*it=7000 cost=4.161764621734619 creg=2.6018409729003906
(0.31440000000000001, 0.77349999999999997, 0.9536)
(0.32669999999999999, 0.77470000000000006, 0.95399999999999996)
*it=8000 cost=4.230395317077637 creg=2.5628278732299807
(0.27839999999999998, 0.75600000000000001, 0.95089999999999997)
(0.2883, 0.75890000000000002, 0.95179999999999998)
*it=9000 cost=3.7485294342041016 creg=2.524362564086914
(0.3715, 0.83599999999999997, 0.97089999999999999)
(0.36099999999999999, 0.82779999999999998, 0.96950000000000003)
*it=10000 cost=3.5364508628845215 creg=2.4864641189575196
(0.3876, 0.86550000000000005, 0.98119999999999996)
(0.40129999999999999, 0.85940000000000005, 0.97689999999999999)
*it=11000 cost=3.501235008239746 creg=2.449090003967285
(0.41210000000000002, 0.86719999999999997, 0.97860000000000003)
(0.40189999999999998, 0.86619999999999997, 0.97529999999999994)
*it=12000 cost=3.474684715270996 creg=2.412159538269043
(0.40639999999999998, 0.86450000000000005, 0.97729999999999995)
(0.39429999999999998, 0.85560000000000003, 0.97789999999999999)
*it=13000 cost=3.4590444564819336 creg=2.3758880615234377
(0.38829999999999998, 0.86270000000000002, 0.97829999999999995)
(0.38819999999999999, 0.86240000000000006, 0.97809999999999997)
*it=14000 cost=3.4069221019744873 creg=2.3401737213134766
(0.39989999999999998, 0.8669, 0.9798)
(0.38679999999999998, 0.86580000000000001, 0.97860000000000003)
*it=15000 cost=3.3331546783447266 creg=2.3049636840820313
(0.3982, 0.86750000000000005, 0.98140000000000005)
(0.37940000000000002, 0.85450000000000004, 0.97970000000000002)
*it=16000 cost=3.3946330547332764 creg=2.2704074859619143
(0.37790000000000001, 0.84819999999999995, 0.97689999999999999)
(0.37119999999999997, 0.84430000000000005, 0.97430000000000005)
*it=17000 cost=3.1838643550872803 creg=2.2362701416015627
(0.42320000000000002, 0.88360000000000005, 0.98350000000000004)
(0.42249999999999999, 0.88060000000000005, 0.98260000000000003)
*it=18000 cost=3.1320738792419434 creg=2.2027015686035156
(0.42580000000000001, 0.89359999999999995, 0.98109999999999997)
(0.42459999999999998, 0.88880000000000003, 0.98340000000000005)
*it=19000 cost=3.1730551719665527 creg=2.1696861267089846
(0.42170000000000002, 0.87919999999999998, 0.97989999999999999)
(0.40939999999999999, 0.87370000000000003, 0.97999999999999998)
*it=20000 cost=3.085052967071533 creg=2.137114906311035
(0.42070000000000002, 0.88360000000000005, 0.98240000000000005)
(0.41270000000000001, 0.87780000000000002, 0.98129999999999995)
*it=21000 cost=3.089273452758789 creg=2.105086135864258
(0.41520000000000001, 0.87639999999999996, 0.98009999999999997)
(0.4148, 0.878, 0.98109999999999997)
*it=22000 cost=3.0216054916381836 creg=2.0734973907470704
(0.4158, 0.88619999999999999, 0.98360000000000003)
(0.4128, 0.88009999999999999, 0.98180000000000001)
*it=23000 cost=3.0463991165161133 creg=2.0424461364746094
(0.40460000000000002, 0.87260000000000004, 0.98240000000000005)
(0.38519999999999999, 0.86229999999999996, 0.97919999999999996)
*it=24000 cost=2.9384429454803467 creg=2.011806869506836
(0.4294, 0.88949999999999996, 0.98250000000000004)
(0.43469999999999998, 0.88619999999999999, 0.98180000000000001)
*it=25000 cost=2.8807835578918457 creg=1.9816804885864259
(0.44259999999999999, 0.89159999999999995, 0.98380000000000001)
(0.43390000000000001, 0.89400000000000002, 0.98529999999999995)
*it=26000 cost=2.8329215049743652 creg=1.9519975662231446
(0.43840000000000001, 0.89510000000000001, 0.98609999999999998)
(0.42380000000000001, 0.88959999999999995, 0.98340000000000005)
*it=27000 cost=2.789663076400757 creg=1.9227872848510743
(0.44119999999999998, 0.89449999999999996, 0.98460000000000003)
(0.43569999999999998, 0.88980000000000004, 0.98429999999999995)
*it=28000 cost=2.801471471786499 creg=1.8939691543579102
(0.43419999999999997, 0.89339999999999997, 0.98419999999999996)
(0.42409999999999998, 0.89410000000000001, 0.98450000000000004)
*it=29000 cost=2.755730390548706 creg=1.8656192779541017
(0.42909999999999998, 0.89419999999999999, 0.98570000000000002)
(0.42699999999999999, 0.89480000000000004, 0.98219999999999996)
*it=30000 cost=2.7187843322753906 creg=1.8376789093017578
(0.44240000000000002, 0.89759999999999995, 0.98650000000000004)
(0.42830000000000001, 0.89019999999999999, 0.98240000000000005)
*it=31000 cost=2.627615213394165 creg=1.8102075576782228
(0.4471, 0.90800000000000003, 0.98870000000000002)
(0.44359999999999999, 0.90100000000000002, 0.98540000000000005)
*it=32000 cost=2.5832467079162598 creg=1.7831558227539064
(0.46510000000000001, 0.90990000000000004, 0.98699999999999999)
(0.45390000000000003, 0.90649999999999997, 0.98450000000000004)
*it=33000 cost=2.708706855773926 creg=1.7565093994140626
(0.43049999999999999, 0.88619999999999999, 0.98280000000000001)
(0.42180000000000001, 0.88400000000000001, 0.98309999999999997)
*it=34000 cost=2.5819647312164307 creg=1.7302480697631837
(0.4476, 0.90480000000000005, 0.98670000000000002)
(0.44650000000000001, 0.89690000000000003, 0.98529999999999995)
*it=35000 cost=2.515934944152832 creg=1.7043954849243166
(0.45550000000000002, 0.90890000000000004, 0.98670000000000002)
(0.46389999999999998, 0.90849999999999997, 0.98660000000000003)
*it=36000 cost=2.497962236404419 creg=1.6789249420166017
(0.45569999999999999, 0.90759999999999996, 0.98640000000000005)
(0.44869999999999999, 0.9032, 0.98409999999999997)
*it=37000 cost=2.53442645072937 creg=1.6538986206054689
(0.43869999999999998, 0.89700000000000002, 0.98499999999999999)
(0.43880000000000002, 0.89549999999999996, 0.98240000000000005)
*it=38000 cost=2.4367213249206543 creg=1.629280471801758
(0.45090000000000002, 0.91069999999999995, 0.98860000000000003)
(0.44330000000000003, 0.90429999999999999, 0.98429999999999995)
*it=39000 cost=2.4457173347473145 creg=1.6050140380859377
(0.4506, 0.90529999999999999, 0.98519999999999996)
(0.4476, 0.90239999999999998, 0.98480000000000001)
*it=40000 cost=2.3844614028930664 creg=1.581165885925293
(0.47099999999999997, 0.91139999999999999, 0.98799999999999999)
(0.45119999999999999, 0.90500000000000003, 0.98509999999999998)
*it=41000 cost=2.3731439113616943 creg=1.557670021057129
(0.46860000000000002, 0.91020000000000001, 0.98519999999999996)
(0.44769999999999999, 0.89659999999999995, 0.9849)
*it=42000 cost=2.3271403312683105 creg=1.5345707893371583
(0.45950000000000002, 0.91169999999999995, 0.98719999999999997)
(0.45440000000000003, 0.90710000000000002, 0.98599999999999999)
*it=43000 cost=2.322579860687256 creg=1.5118442535400392
(0.45290000000000002, 0.91069999999999995, 0.98680000000000001)
(0.44979999999999998, 0.90980000000000005, 0.9859)
*it=44000 cost=2.2764580249786377 creg=1.489501190185547
(0.46850000000000003, 0.91779999999999995, 0.98640000000000005)
(0.46489999999999998, 0.91080000000000005, 0.98629999999999995)
*it=45000 cost=2.2907567024230957 creg=1.467429256439209
(0.45650000000000002, 0.90690000000000004, 0.98599999999999999)
(0.46060000000000001, 0.91320000000000001, 0.98680000000000001)
*it=46000 cost=2.2122559547424316 creg=1.4456884384155275
(0.47760000000000002, 0.91620000000000001, 0.98819999999999997)
(0.46050000000000002, 0.91259999999999997, 0.9879)
*it=47000 cost=2.2480692863464355 creg=1.424381446838379
(0.45069999999999999, 0.90939999999999999, 0.98809999999999998)
(0.44769999999999999, 0.90380000000000005, 0.98619999999999997)
*it=48000 cost=2.185856342315674 creg=1.4033284187316895
(0.46360000000000001, 0.91100000000000003, 0.98850000000000005)
(0.45939999999999998, 0.91459999999999997, 0.98740000000000006)
*it=49000 cost=2.156785249710083 creg=1.3826319694519045
(0.46550000000000002, 0.91520000000000001, 0.98970000000000002)
(0.45750000000000002, 0.91320000000000001, 0.98699999999999999)
*it=50000 cost=2.1192593574523926 creg=1.3622406005859375
(0.4718, 0.91749999999999998, 0.98850000000000005)
(0.48080000000000001, 0.92069999999999996, 0.98839999999999995)
*it=51000 cost=2.074340343475342 creg=1.3422198295593262
(0.48759999999999998, 0.92330000000000001, 0.9889)
(0.47839999999999999, 0.91449999999999998, 0.98670000000000002)
*it=52000 cost=2.0302236080169678 creg=1.3224675178527834
(0.499, 0.9284, 0.99070000000000003)
(0.47049999999999997, 0.91749999999999998, 0.98729999999999996)
*it=53000 cost=2.043630361557007 creg=1.3031007766723635
(0.48559999999999998, 0.92290000000000005, 0.98960000000000004)
(0.47770000000000001, 0.91520000000000001, 0.98809999999999998)
*it=54000 cost=1.9879183769226074 creg=1.2840468406677248
(0.48470000000000002, 0.9284, 0.99029999999999996)
(0.48220000000000002, 0.91469999999999996, 0.98809999999999998)
*it=55000 cost=2.0176897048950195 creg=1.2652106285095215
(0.47449999999999998, 0.92059999999999997, 0.98760000000000003)
(0.46079999999999999, 0.91310000000000002, 0.98480000000000001)
*it=56000 cost=1.9569034576416016 creg=1.2467282295227051
(0.48270000000000002, 0.92549999999999999, 0.98980000000000001)
(0.47899999999999998, 0.92520000000000002, 0.99029999999999996)
*it=57000 cost=1.928540825843811 creg=1.2285683631896973
(0.49559999999999998, 0.92569999999999997, 0.99109999999999998)
(0.47510000000000002, 0.92130000000000001, 0.98750000000000004)
*it=58000 cost=1.941112995147705 creg=1.2106611251831056
(0.48799999999999999, 0.92269999999999996, 0.98919999999999997)
(0.48170000000000002, 0.9194, 0.98919999999999997)
*it=59000 cost=1.9157540798187256 creg=1.1930317878723145
(0.47899999999999998, 0.92569999999999997, 0.99050000000000005)
(0.47649999999999998, 0.91900000000000004, 0.98850000000000005)
*it=60000 cost=1.9408698081970215 creg=1.175700855255127
(0.47389999999999999, 0.92030000000000001, 0.98660000000000003)
(0.4708, 0.91539999999999999, 0.98719999999999997)
*it=61000 cost=1.868661880493164 creg=1.1585988998413086
(0.48149999999999998, 0.92710000000000004, 0.99129999999999996)
(0.48620000000000002, 0.91949999999999998, 0.9889)
*it=62000 cost=1.8498942852020264 creg=1.1417732238769531
(0.49419999999999997, 0.92749999999999999, 0.99039999999999995)
(0.4768, 0.91439999999999999, 0.98509999999999998)
*it=63000 cost=1.7944093942642212 creg=1.1252452850341796
(0.4985, 0.93049999999999999, 0.99170000000000003)
(0.4824, 0.92330000000000001, 0.98829999999999996)
*it=64000 cost=1.8037285804748535 creg=1.1089926719665528
(0.48799999999999999, 0.93100000000000005, 0.99080000000000001)
(0.4879, 0.91910000000000003, 0.98750000000000004)
*it=65000 cost=1.777285099029541 creg=1.0929920196533203
(0.50590000000000002, 0.93210000000000004, 0.99029999999999996)
