*it=36000 cost=2.483350992202759 creg=1.6682607650756838
(0.44750000000000001, 0.90669999999999995, 0.98809999999999998)
(0.43869999999999998, 0.90480000000000005, 0.98550000000000004)
*it=37000 cost=2.5323805809020996 creg=1.6434209823608399
(0.43080000000000002, 0.89590000000000003, 0.98560000000000003)
(0.43359999999999999, 0.8982, 0.98429999999999995)
*it=38000 cost=2.440936326980591 creg=1.618991279602051
(0.45079999999999998, 0.90529999999999999, 0.98829999999999996)
(0.43530000000000002, 0.89929999999999999, 0.98380000000000001)
*it=39000 cost=2.4982993602752686 creg=1.5949339866638184
(0.43359999999999999, 0.89259999999999995, 0.98340000000000005)
(0.43159999999999998, 0.8871, 0.98260000000000003)
*it=40000 cost=2.383279323577881 creg=1.5712654113769533
(0.45789999999999997, 0.9113, 0.98819999999999997)
(0.44829999999999998, 0.90390000000000004, 0.98499999999999999)
*it=41000 cost=2.3647279739379883 creg=1.5479357719421387
(0.46360000000000001, 0.90629999999999999, 0.98640000000000005)
(0.4471, 0.90049999999999997, 0.98619999999999997)
*it=42000 cost=2.324763298034668 creg=1.5250357627868654
(0.46029999999999999, 0.91279999999999994, 0.98650000000000004)
(0.45079999999999998, 0.90739999999999998, 0.98660000000000003)
*it=43000 cost=2.330186605453491 creg=1.5024614334106445
(0.44669999999999999, 0.90820000000000001, 0.98719999999999997)
(0.438, 0.90639999999999998, 0.98580000000000001)
*it=44000 cost=2.267148971557617 creg=1.4802693367004396
(0.46860000000000002, 0.91569999999999996, 0.98609999999999998)
(0.46129999999999999, 0.90939999999999999, 0.9869)
*it=45000 cost=2.282071590423584 creg=1.4583852767944336
(0.45529999999999998, 0.90820000000000001, 0.98709999999999998)
(0.4622, 0.91090000000000004, 0.98750000000000004)
*it=46000 cost=2.205288887023926 creg=1.4367831230163575
(0.47360000000000002, 0.91720000000000002, 0.9879)
(0.46439999999999998, 0.91180000000000005, 0.98839999999999995)
*it=47000 cost=2.276646137237549 creg=1.4156586647033693
(0.43809999999999999, 0.90329999999999999, 0.98740000000000006)
(0.43790000000000001, 0.89939999999999998, 0.98580000000000001)
*it=48000 cost=2.1760127544403076 creg=1.3947793006896974
(0.47149999999999997, 0.91359999999999997, 0.98760000000000003)
(0.4602, 0.91800000000000004, 0.98870000000000002)
*it=49000 cost=2.1656477451324463 creg=1.3742353439331056
(0.44929999999999998, 0.91459999999999997, 0.98929999999999996)
(0.45140000000000002, 0.91190000000000004, 0.98699999999999999)
*it=50000 cost=2.1182005405426025 creg=1.3539823532104494
(0.4677, 0.91790000000000005, 0.98939999999999995)
(0.47289999999999999, 0.92179999999999995, 0.98829999999999996)
*it=51000 cost=2.0683975219726562 creg=1.3340885162353517
(0.4849, 0.92420000000000002, 0.98970000000000002)
(0.4723, 0.91690000000000005, 0.98609999999999998)
*it=52000 cost=2.026346206665039 creg=1.3145183563232423
(0.49440000000000001, 0.92649999999999999, 0.99050000000000005)
(0.4743, 0.91900000000000004, 0.98809999999999998)
*it=53000 cost=2.0449652671813965 creg=1.295304298400879
(0.4753, 0.92100000000000004, 0.98929999999999996)
(0.46899999999999997, 0.91469999999999996, 0.98729999999999996)
*it=54000 cost=1.9940718412399292 creg=1.2763830184936524
(0.48280000000000001, 0.92700000000000005, 0.99019999999999997)
(0.48060000000000003, 0.91659999999999997, 0.98740000000000006)
*it=55000 cost=2.0355331897735596 creg=1.2576548576354982
(0.46479999999999999, 0.91959999999999997, 0.98770000000000002)
(0.45669999999999999, 0.90800000000000003, 0.98480000000000001)
*it=56000 cost=1.9786784648895264 creg=1.2393078804016113
(0.47620000000000001, 0.92459999999999998, 0.98819999999999997)
(0.47160000000000002, 0.92220000000000002, 0.99139999999999995)
*it=57000 cost=1.929610252380371 creg=1.221231746673584
(0.49399999999999999, 0.92630000000000001, 0.99029999999999996)
(0.47720000000000001, 0.91700000000000004, 0.98799999999999999)
*it=58000 cost=1.9379305839538574 creg=1.203407955169678
(0.4874, 0.92249999999999999, 0.98850000000000005)
(0.48830000000000001, 0.92230000000000001, 0.98760000000000003)
*it=59000 cost=1.9240198135375977 creg=1.185902214050293
(0.47239999999999999, 0.92200000000000004, 0.98960000000000004)
(0.47720000000000001, 0.91990000000000005, 0.98970000000000002)
*it=60000 cost=1.9216387271881104 creg=1.1686951637268066
(0.47299999999999998, 0.9173, 0.98819999999999997)
(0.47760000000000002, 0.91600000000000004, 0.9859)
*it=61000 cost=1.847018837928772 creg=1.1517096519470216
(0.48809999999999998, 0.92779999999999996, 0.99160000000000004)
(0.49149999999999999, 0.92169999999999996, 0.98939999999999995)
*it=62000 cost=1.833707332611084 creg=1.1349711418151855
(0.49159999999999998, 0.92800000000000005, 0.99150000000000005)
