*it=0 cost=2.0733728408813477 creg=0.30541959762573245
(0.252, 0.72760000000000002, 0.95109999999999995)
(0.26450000000000001, 0.73619999999999997, 0.95509999999999995)
*it=1000 cost=1.7745264768600464 creg=0.30452909469604494
(0.2868, 0.77780000000000005, 0.9698)
(0.27710000000000001, 0.76990000000000003, 0.96830000000000005)
*it=2000 cost=1.2460503578186035 creg=0.3033883857727051
(0.3896, 0.87919999999999998, 0.99139999999999995)
(0.3836, 0.8679, 0.98839999999999995)
*it=3000 cost=1.1658234596252441 creg=0.3021241569519043
(0.40870000000000001, 0.89549999999999996, 0.99250000000000005)
(0.40670000000000001, 0.88649999999999995, 0.9909)
*it=4000 cost=1.0054887533187866 creg=0.30081968307495116
(0.45989999999999998, 0.92749999999999999, 0.99529999999999996)
(0.45979999999999999, 0.92659999999999998, 0.99460000000000004)
*it=5000 cost=0.9365967512130737 creg=0.2994486999511719
(0.47949999999999998, 0.93879999999999997, 0.99670000000000003)
(0.47220000000000001, 0.93779999999999997, 0.99570000000000003)
*it=6000 cost=0.956267237663269 creg=0.29805156707763675
(0.47039999999999998, 0.93400000000000005, 0.996)
(0.47110000000000002, 0.93079999999999996, 0.99419999999999997)
*it=7000 cost=0.9003055691719055 creg=0.29661958694458007
(0.48980000000000001, 0.94589999999999996, 0.99750000000000005)
(0.48870000000000002, 0.94550000000000001, 0.998)
*it=8000 cost=1.0048296451568604 creg=0.29518598556518555
(0.44579999999999997, 0.92469999999999997, 0.99619999999999997)
(0.45319999999999999, 0.93069999999999997, 0.99619999999999997)
*it=9000 cost=0.8689299821853638 creg=0.29374141693115235
(0.49980000000000002, 0.95099999999999996, 0.99809999999999999)
(0.48799999999999999, 0.9486, 0.99760000000000004)
*it=10000 cost=0.8725419640541077 creg=0.29231006622314454
(0.49759999999999999, 0.94820000000000004, 0.998)
(0.49590000000000001, 0.94879999999999998, 0.99660000000000004)
*it=11000 cost=0.837446928024292 creg=0.29086151123046877
(0.51019999999999999, 0.9577, 0.99809999999999999)
(0.50819999999999999, 0.95140000000000002, 0.99750000000000005)
*it=12000 cost=0.9220218062400818 creg=0.28940242767333985
(0.47270000000000001, 0.94210000000000005, 0.99770000000000003)
(0.46829999999999999, 0.93600000000000005, 0.99570000000000003)
*it=13000 cost=0.806076169013977 creg=0.28795776367187503
