*it=36000 cost=2.113419532775879 creg=1.6541929244995117
(0.55379999999999996, 0.97130000000000005, 0.99819999999999998)
(0.54420000000000002, 0.96760000000000002, 0.999)
*it=37000 cost=2.069761276245117 creg=1.6292667388916016
(0.56259999999999999, 0.97419999999999995, 0.99860000000000004)
(0.56210000000000004, 0.97360000000000002, 0.99870000000000003)
*it=38000 cost=2.034453868865967 creg=1.6047241210937502
(0.56279999999999997, 0.97509999999999997, 0.99950000000000006)
(0.56059999999999999, 0.97170000000000001, 0.99770000000000003)
*it=39000 cost=2.036680221557617 creg=1.5805832862854006
(0.55349999999999999, 0.97340000000000004, 0.99890000000000001)
(0.54769999999999996, 0.9667, 0.99850000000000005)
*it=40000 cost=1.9670952558517456 creg=1.5568037986755372
(0.57940000000000003, 0.97689999999999999, 0.99929999999999997)
(0.55659999999999998, 0.97089999999999999, 0.99890000000000001)
*it=41000 cost=1.9691243171691895 creg=1.5333721160888674
(0.56220000000000003, 0.97389999999999999, 0.99870000000000003)
(0.55959999999999999, 0.97030000000000005, 0.99870000000000003)
*it=42000 cost=1.9515186548233032 creg=1.5102750778198244
(0.55859999999999999, 0.97360000000000002, 0.99909999999999999)
(0.5585, 0.97219999999999995, 0.99850000000000005)
*it=43000 cost=1.9513802528381348 creg=1.487544631958008
(0.54679999999999995, 0.9718, 0.99919999999999998)
(0.54100000000000004, 0.96919999999999995, 0.99839999999999995)
*it=44000 cost=1.8822259902954102 creg=1.4651774406433107
(0.56730000000000003, 0.97650000000000003, 0.999)
(0.5625, 0.97519999999999996, 0.99850000000000005)
*it=45000 cost=1.8699980974197388 creg=1.443198585510254
(0.57099999999999995, 0.97289999999999999, 0.99890000000000001)
(0.55759999999999998, 0.9718, 0.999)
*it=46000 cost=1.8472585678100586 creg=1.4214642524719239
(0.56869999999999998, 0.97729999999999995, 0.999)
(0.56169999999999998, 0.97389999999999999, 0.99890000000000001)
*it=47000 cost=1.8252712488174438 creg=1.400120735168457
(0.57279999999999998, 0.9758, 0.999)
(0.56069999999999998, 0.9738, 0.999)
*it=48000 cost=1.776288628578186 creg=1.3790744781494142
(0.58099999999999996, 0.98170000000000002, 0.99929999999999997)
(0.58179999999999998, 0.97850000000000004, 0.99939999999999996)
*it=49000 cost=1.7494211196899414 creg=1.3583758354187012
(0.59050000000000002, 0.98240000000000005, 0.99919999999999998)
(0.57220000000000004, 0.97819999999999996, 0.99980000000000002)
*it=50000 cost=1.7623577117919922 creg=1.3379876136779787
(0.56459999999999999, 0.97719999999999996, 0.99929999999999997)
(0.55820000000000003, 0.97540000000000004, 0.99929999999999997)
*it=51000 cost=1.7076256275177002 creg=1.3179157257080079
(0.58660000000000001, 0.98280000000000001, 0.999)
(0.5837, 0.97499999999999998, 0.99809999999999999)
*it=52000 cost=1.683010458946228 creg=1.2981273651123049
(0.59309999999999996, 0.98140000000000005, 0.99950000000000006)
(0.57579999999999998, 0.97640000000000005, 0.99890000000000001)
*it=53000 cost=1.6905996799468994 creg=1.278644847869873
(0.57369999999999999, 0.97840000000000005, 0.99939999999999996)
(0.56369999999999998, 0.97560000000000002, 0.999)
*it=54000 cost=1.644855260848999 creg=1.2595018386840822
(0.58209999999999995, 0.98209999999999997, 0.99950000000000006)
(0.57630000000000003, 0.97499999999999998, 0.99909999999999999)
*it=55000 cost=1.6129103899002075 creg=1.2406126976013185
(0.60199999999999998, 0.98399999999999999, 0.99919999999999998)
(0.58240000000000003, 0.98160000000000003, 0.99880000000000002)
*it=56000 cost=1.6107852458953857 creg=1.2220595359802247
(0.59440000000000004, 0.98140000000000005, 0.999)
(0.56940000000000002, 0.97499999999999998, 0.99880000000000002)
*it=57000 cost=1.5811843872070312 creg=1.2037878036499023
(0.59470000000000001, 0.98219999999999996, 0.99960000000000004)
(0.58450000000000002, 0.97870000000000001, 0.999)
*it=58000 cost=1.5864958763122559 creg=1.1857734680175782
(0.58599999999999997, 0.9798, 0.99929999999999997)
(0.56589999999999996, 0.97870000000000001, 0.99939999999999996)
*it=59000 cost=1.5870954990386963 creg=1.1680503845214845
(0.57520000000000004, 0.97609999999999997, 0.99919999999999998)
(0.56189999999999996, 0.97470000000000001, 0.999)
*it=60000 cost=1.5670593976974487 creg=1.150606918334961
(0.57120000000000004, 0.97809999999999997, 0.99970000000000003)
(0.56059999999999999, 0.97560000000000002, 0.99939999999999996)
*it=61000 cost=1.5441632270812988 creg=1.1334333419799805
(0.58130000000000004, 0.98019999999999996, 0.999)
(0.56530000000000002, 0.97470000000000001, 0.99839999999999995)
*it=62000 cost=1.5055601596832275 creg=1.1165129661560058
(0.59189999999999998, 0.98009999999999997, 0.99960000000000004)
(0.57379999999999998, 0.97550000000000003, 0.99909999999999999)
*it=63000 cost=1.482194185256958 creg=1.0998740196228027
(0.59540000000000004, 0.98160000000000003, 0.99929999999999997)
(0.57379999999999998, 0.97899999999999998, 0.99939999999999996)
*it=64000 cost=1.4651994705200195 creg=1.0834554672241212
(0.58460000000000001, 0.98529999999999995, 0.99980000000000002)
