*it=0 cost=1.8925352096557617 creg=0.3052493476867676
(0.28160000000000002, 0.75509999999999999, 0.96050000000000002)
(0.28560000000000002, 0.76459999999999995, 0.96599999999999997)
*it=1000 cost=1.8781157732009888 creg=0.3043072319030762
(0.2732, 0.75900000000000001, 0.96579999999999999)
(0.26579999999999998, 0.74729999999999996, 0.96209999999999996)
*it=2000 cost=1.1559230089187622 creg=0.3031106185913086
(0.41189999999999999, 0.89759999999999995, 0.99250000000000005)
(0.40350000000000003, 0.88339999999999996, 0.99009999999999998)
*it=3000 cost=1.098035216331482 creg=0.301808032989502
(0.43169999999999997, 0.90659999999999996, 0.99409999999999998)
(0.4214, 0.89959999999999996, 0.99319999999999997)
*it=4000 cost=0.965086817741394 creg=0.3004753112792969
(0.4713, 0.93369999999999997, 0.99639999999999995)
(0.47370000000000001, 0.93479999999999996, 0.99590000000000001)
*it=5000 cost=0.9353139400482178 creg=0.299073486328125
(0.47889999999999999, 0.93720000000000003, 0.99639999999999995)
(0.47739999999999999, 0.93500000000000005, 0.99570000000000003)
*it=6000 cost=0.9252018928527832 creg=0.2976608085632324
(0.4874, 0.94230000000000003, 0.99670000000000003)
(0.4708, 0.93640000000000001, 0.99550000000000005)
*it=7000 cost=0.8876152038574219 creg=0.29621740341186525
(0.49349999999999999, 0.94779999999999998, 0.99780000000000002)
(0.49440000000000001, 0.94530000000000003, 0.99750000000000005)
*it=8000 cost=1.019250512123108 creg=0.29477279663085937
(0.44119999999999998, 0.92530000000000001, 0.99629999999999996)
(0.44890000000000002, 0.92820000000000003, 0.99639999999999995)
*it=9000 cost=0.8633655905723572 creg=0.29332197189331055
(0.50580000000000003, 0.9516, 0.99790000000000001)
(0.48930000000000001, 0.9466, 0.99729999999999996)
*it=10000 cost=0.8825200796127319 creg=0.2918757057189941
(0.50270000000000004, 0.94730000000000003, 0.99750000000000005)
(0.48920000000000002, 0.94330000000000003, 0.99690000000000001)
*it=11000 cost=0.8154894709587097 creg=0.29041587829589843
(0.51910000000000001, 0.9607, 0.99870000000000003)
(0.51900000000000002, 0.95340000000000003, 0.99850000000000005)
*it=12000 cost=0.865842342376709 creg=0.28894519805908203
(0.4945, 0.94889999999999997, 0.99809999999999999)
(0.4899, 0.94589999999999996, 0.99719999999999998)
*it=13000 cost=0.8162798881530762 creg=0.2874962615966797
(0.51749999999999996, 0.96079999999999999, 0.998)
(0.50449999999999995, 0.95850000000000002, 0.99780000000000002)
*it=14000 cost=0.8328509330749512 creg=0.2860268592834473
(0.51200000000000001, 0.95620000000000005, 0.998)
(0.51239999999999997, 0.95189999999999997, 0.99739999999999995)
*it=15000 cost=0.8322919607162476 creg=0.2845762252807617
(0.50149999999999995, 0.95599999999999996, 0.99909999999999999)
(0.49690000000000001, 0.95620000000000005, 0.99829999999999997)
*it=16000 cost=0.8297430276870728 creg=0.28313680648803713
(0.51539999999999997, 0.95860000000000001, 0.99770000000000003)
(0.50600000000000001, 0.95550000000000002, 0.998)
*it=17000 cost=0.8291455507278442 creg=0.2816862869262695
(0.50470000000000004, 0.95930000000000004, 0.99819999999999998)
(0.48399999999999999, 0.94499999999999995, 0.99750000000000005)
*it=18000 cost=0.7776058912277222 creg=0.28026838302612306
(0.53620000000000001, 0.96360000000000001, 0.99819999999999998)
(0.53480000000000005, 0.96209999999999996, 0.99790000000000001)
*it=19000 cost=0.7471699714660645 creg=0.27883190155029297
(0.54679999999999995, 0.96879999999999999, 0.99819999999999998)
(0.54249999999999998, 0.96599999999999997, 0.99850000000000005)
*it=20000 cost=0.752751886844635 creg=0.2774110794067383
(0.54349999999999998, 0.96809999999999996, 0.99909999999999999)
(0.53779999999999994, 0.96719999999999995, 0.99839999999999995)
*it=21000 cost=0.7494591474533081 creg=0.27599233627319336
(0.54320000000000002, 0.96599999999999997, 0.999)
(0.52790000000000004, 0.96550000000000002, 0.99819999999999998)
*it=22000 cost=0.8131619691848755 creg=0.27458551406860354
(0.51100000000000001, 0.95760000000000001, 0.99860000000000004)
(0.505, 0.95640000000000003, 0.99829999999999997)
*it=23000 cost=0.8824578523635864 creg=0.27320337295532227
(0.48909999999999998, 0.94450000000000001, 0.99829999999999997)
(0.46400000000000002, 0.93469999999999998, 0.99670000000000003)
*it=24000 cost=0.7885563373565674 creg=0.2718055725097656
(0.51919999999999999, 0.96189999999999998, 0.99890000000000001)
(0.51039999999999996, 0.95850000000000002, 0.99819999999999998)
*it=25000 cost=0.7507126927375793 creg=0.2704075622558594
(0.54359999999999997, 0.96919999999999995, 0.99929999999999997)
(0.52780000000000005, 0.96589999999999998, 0.999)
*it=26000 cost=1.0499136447906494 creg=0.2690183448791504
(0.3901, 0.91600000000000004, 0.99770000000000003)
(0.39989999999999998, 0.91839999999999999, 0.99609999999999999)
*it=27000 cost=0.7310606241226196 creg=0.26766668319702147
(0.54830000000000001, 0.96909999999999996, 0.99890000000000001)
(0.54110000000000003, 0.96709999999999996, 0.99880000000000002)
*it=28000 cost=0.6814465522766113 creg=0.2663058853149414
(0.5746, 0.97740000000000005, 0.99909999999999999)
(0.56489999999999996, 0.96999999999999997, 0.99819999999999998)
*it=29000 cost=0.7638494968414307 creg=0.26494401931762696
(0.52939999999999998, 0.96679999999999999, 0.99870000000000003)
(0.52429999999999999, 0.96150000000000002, 0.99880000000000002)
*it=30000 cost=0.7361389398574829 creg=0.2636005210876465
(0.53790000000000004, 0.9698, 0.99939999999999996)
