*it=0 cost=2.6745500564575195 creg=1.155418701171875
(0.31069999999999998, 0.77310000000000001, 0.95889999999999997)
(0.313, 0.77949999999999997, 0.9627)
*it=1000 cost=2.3699159622192383 creg=1.149300003051758
(0.3528, 0.82499999999999996, 0.97889999999999999)
(0.34599999999999997, 0.82120000000000004, 0.97619999999999996)
*it=2000 cost=2.1952524185180664 creg=1.1428578186035157
(0.37769999999999998, 0.86119999999999997, 0.98409999999999997)
(0.36470000000000002, 0.84560000000000002, 0.98180000000000001)
*it=3000 cost=2.1892480850219727 creg=1.1363326263427735
(0.37659999999999999, 0.85699999999999998, 0.98460000000000003)
(0.35289999999999999, 0.84550000000000003, 0.98170000000000002)
*it=4000 cost=1.9838134050369263 creg=1.1298419189453126
(0.42849999999999999, 0.89949999999999997, 0.98980000000000001)
(0.4249, 0.90129999999999999, 0.98839999999999995)
*it=5000 cost=1.8759009838104248 creg=1.123299026489258
(0.45279999999999998, 0.91449999999999998, 0.99339999999999995)
(0.442, 0.91149999999999998, 0.99180000000000001)
*it=6000 cost=1.8525420427322388 creg=1.116744842529297
(0.44919999999999999, 0.92249999999999999, 0.99409999999999998)
(0.44640000000000002, 0.91169999999999995, 0.99339999999999995)
*it=7000 cost=1.9604339599609375 creg=1.110196075439453
(0.41920000000000002, 0.89670000000000005, 0.99219999999999997)
(0.4178, 0.89970000000000006, 0.99309999999999998)
*it=8000 cost=1.8775620460510254 creg=1.1036727905273438
(0.43419999999999997, 0.91220000000000001, 0.99390000000000001)
(0.43990000000000001, 0.91869999999999996, 0.99380000000000002)
*it=9000 cost=1.879975438117981 creg=1.097156753540039
(0.437, 0.90939999999999999, 0.99480000000000002)
(0.42209999999999998, 0.91059999999999997, 0.99339999999999995)
*it=10000 cost=1.8588967323303223 creg=1.0906791687011719
(0.43680000000000002, 0.91539999999999999, 0.99519999999999997)
(0.43049999999999999, 0.91569999999999996, 0.99509999999999998)
*it=11000 cost=1.7154322862625122 creg=1.0842414093017578
(0.48570000000000002, 0.94340000000000002, 0.99570000000000003)
(0.48249999999999998, 0.93579999999999997, 0.99590000000000001)
*it=12000 cost=1.6881238222122192 creg=1.077794876098633
(0.4924, 0.94279999999999997, 0.99690000000000001)
(0.47989999999999999, 0.93920000000000003, 0.99539999999999995)
*it=13000 cost=1.654356598854065 creg=1.0713848876953125
(0.4975, 0.94840000000000002, 0.99739999999999995)
(0.49940000000000001, 0.94889999999999997, 0.99750000000000005)
*it=14000 cost=1.7836840152740479 creg=1.0650035858154296
(0.43969999999999998, 0.92530000000000001, 0.99570000000000003)
(0.439, 0.92700000000000005, 0.99670000000000003)
*it=15000 cost=1.7397680282592773 creg=1.0586508178710938
(0.4526, 0.93420000000000003, 0.99719999999999998)
(0.44529999999999997, 0.92700000000000005, 0.99619999999999997)
*it=16000 cost=1.622306227684021 creg=1.0523506164550782
(0.50919999999999999, 0.95369999999999999, 0.997)
(0.51519999999999999, 0.95199999999999996, 0.99690000000000001)
*it=17000 cost=1.577716588973999 creg=1.046083984375
(0.52729999999999999, 0.96060000000000001, 0.99780000000000002)
(0.51580000000000004, 0.95830000000000004, 0.99770000000000003)
*it=18000 cost=1.6164065599441528 creg=1.0398301696777343
(0.49940000000000001, 0.95299999999999996, 0.99680000000000002)
(0.49349999999999999, 0.95040000000000002, 0.997)
*it=19000 cost=1.5716922283172607 creg=1.0336106872558595
(0.51890000000000003, 0.95569999999999999, 0.99750000000000005)
(0.5131, 0.9577, 0.998)
*it=20000 cost=1.5676629543304443 creg=1.0274419403076172
(0.52310000000000001, 0.95569999999999999, 0.99750000000000005)
(0.51919999999999999, 0.95209999999999995, 0.99750000000000005)
*it=21000 cost=1.5835621356964111 creg=1.0212976837158203
(0.51329999999999998, 0.94930000000000003, 0.99770000000000003)
(0.50639999999999996, 0.95179999999999998, 0.99629999999999996)
*it=22000 cost=1.5492279529571533 creg=1.0151905822753906
(0.51459999999999995, 0.96140000000000003, 0.99790000000000001)
(0.52029999999999998, 0.95789999999999997, 0.99809999999999999)
*it=23000 cost=1.536453127861023 creg=1.0091292572021484
(0.5272, 0.95730000000000004, 0.99770000000000003)
(0.51500000000000001, 0.95440000000000003, 0.99639999999999995)
*it=24000 cost=1.5281811952590942 creg=1.0031118774414063
(0.52280000000000004, 0.95840000000000003, 0.99860000000000004)
(0.51449999999999996, 0.95850000000000002, 0.99739999999999995)
*it=25000 cost=1.5022287368774414 creg=0.9971055603027345
(0.53310000000000002, 0.96379999999999999, 0.99860000000000004)
(0.52569999999999995, 0.96230000000000004, 0.99870000000000003)
*it=26000 cost=1.5904386043548584 creg=0.9911338806152344
(0.48659999999999998, 0.94440000000000002, 0.99860000000000004)
(0.48370000000000002, 0.94499999999999995, 0.99780000000000002)
*it=27000 cost=1.5206835269927979 creg=0.9852268218994141
(0.51370000000000005, 0.95520000000000005, 0.99870000000000003)
(0.52029999999999998, 0.9597, 0.99780000000000002)
*it=28000 cost=1.4553143978118896 creg=0.9793544006347656
(0.54969999999999997, 0.9677, 0.99829999999999997)
(0.53059999999999996, 0.96250000000000002, 0.99780000000000002)
*it=29000 cost=1.498847246170044 creg=0.9735152435302734
(0.5151, 0.96109999999999995, 0.99790000000000001)
(0.51739999999999997, 0.95909999999999995, 0.99839999999999995)
*it=30000 cost=1.4225447177886963 creg=0.9677074432373047
(0.55610000000000004, 0.97099999999999997, 0.99909999999999999)
(0.54259999999999997, 0.96719999999999995, 0.99890000000000001)
*it=31000 cost=1.4492038488388062 creg=0.9619401550292969
(0.53690000000000004, 0.96619999999999995, 0.99919999999999998)
(0.53739999999999999, 0.96619999999999995, 0.99860000000000004)
*it=32000 cost=1.415178894996643 creg=0.9562096405029297
(0.54900000000000004, 0.96950000000000003, 0.99870000000000003)
(0.53920000000000001, 0.96789999999999998, 0.99829999999999997)
*it=33000 cost=1.4082584381103516 creg=0.9505254364013672
(0.56010000000000004, 0.97160000000000002, 0.99880000000000002)
(0.54510000000000003, 0.96909999999999996, 0.99850000000000005)
*it=34000 cost=1.40861177444458 creg=0.9448738098144531
(0.54210000000000003, 0.97050000000000003, 0.99870000000000003)
(0.54649999999999999, 0.96860000000000002, 0.99880000000000002)
*it=35000 cost=1.4108514785766602 creg=0.9392382049560547
(0.5544, 0.96699999999999997, 0.99850000000000005)
(0.54059999999999997, 0.96779999999999999, 0.99860000000000004)
*it=36000 cost=1.3817716836929321 creg=0.9336663055419923
(0.56079999999999997, 0.97260000000000002, 0.99839999999999995)
(0.54369999999999996, 0.96919999999999995, 0.99909999999999999)
*it=37000 cost=1.3932478427886963 creg=0.9280941009521485
(0.54920000000000002, 0.9698, 0.99909999999999999)
(0.53979999999999995, 0.96909999999999996, 0.99860000000000004)
*it=38000 cost=1.3812744617462158 creg=0.9225608825683594
(0.54949999999999999, 0.97140000000000004, 0.99890000000000001)
(0.54649999999999999, 0.9677, 0.99750000000000005)
*it=39000 cost=1.3591952323913574 creg=0.9170685577392579
(0.56140000000000001, 0.97409999999999997, 0.999)
(0.5474, 0.96970000000000001, 0.99829999999999997)
*it=40000 cost=1.336931824684143 creg=0.9116063690185547
(0.56889999999999996, 0.97529999999999994, 0.99880000000000002)
(0.55659999999999998, 0.97140000000000004, 0.99890000000000001)
*it=41000 cost=1.3575466871261597 creg=0.9061632537841797
(0.55840000000000001, 0.97089999999999999, 0.99870000000000003)
(0.55010000000000003, 0.96970000000000001, 0.99860000000000004)
*it=42000 cost=1.3712586164474487 creg=0.9007427215576173
(0.54100000000000004, 0.97070000000000001, 0.99870000000000003)
(0.53820000000000001, 0.96799999999999997, 0.99860000000000004)
*it=43000 cost=1.3568363189697266 creg=0.8953598022460938
(0.54069999999999996, 0.97260000000000002, 0.999)
(0.53890000000000005, 0.96870000000000001, 0.99839999999999995)
*it=44000 cost=1.3262242078781128 creg=0.8900046539306641
(0.55989999999999995, 0.97440000000000004, 0.99909999999999999)
(0.55600000000000005, 0.97209999999999996, 0.99829999999999997)
*it=45000 cost=1.3113481998443604 creg=0.884708251953125
(0.56879999999999997, 0.97460000000000002, 0.999)
(0.55889999999999995, 0.97130000000000005, 0.99860000000000004)
*it=46000 cost=1.3626164197921753 creg=0.8794088745117188
(0.53339999999999999, 0.96870000000000001, 0.99880000000000002)
(0.52669999999999995, 0.96630000000000005, 0.99839999999999995)
*it=47000 cost=1.2992727756500244 creg=0.874163589477539
(0.56950000000000001, 0.97460000000000002, 0.99870000000000003)
(0.56689999999999996, 0.97330000000000005, 0.99880000000000002)
