*it=0 cost=2.4620866775512695 creg=0.7562957763671876
(0.55530000000000002, 0.97509999999999997, 0.99860000000000004)
*it=36000 cost=0.9185287952423096 creg=0.4586046695709229
(0.54690000000000005, 0.97060000000000002, 0.99870000000000003)
(0.53159999999999996, 0.96660000000000001, 0.99929999999999997)
*it=37000 cost=0.8790701627731323 creg=0.4523207664489746
(0.56569999999999998, 0.97540000000000004, 0.99909999999999999)
(0.55779999999999996, 0.97660000000000002, 0.99890000000000001)
*it=38000 cost=0.8593184947967529 creg=0.44615082740783696
(0.57089999999999996, 0.97909999999999997, 0.99950000000000006)
(0.56289999999999996, 0.97509999999999997, 0.99839999999999995)
*it=39000 cost=0.8392122983932495 creg=0.44005951881408695
(0.58150000000000002, 0.98050000000000004, 0.99950000000000006)
(0.57289999999999996, 0.97550000000000003, 0.99880000000000002)
*it=40000 cost=0.8849451541900635 creg=0.4340719223022461
(0.55649999999999999, 0.97270000000000001, 0.99870000000000003)
(0.53920000000000001, 0.96379999999999999, 0.99819999999999998)
*it=41000 cost=0.845099925994873 creg=0.4281838893890381
(0.57830000000000004, 0.97819999999999996, 0.99890000000000001)
(0.56530000000000002, 0.97309999999999997, 0.99909999999999999)
*it=42000 cost=0.8596554398536682 creg=0.42237219810485843
(0.5585, 0.97550000000000003, 0.99939999999999996)
(0.54900000000000004, 0.97270000000000001, 0.99829999999999997)
*it=43000 cost=0.884817898273468 creg=0.4166184425354004
(0.53369999999999995, 0.97199999999999998, 0.99960000000000004)
(0.53680000000000005, 0.96930000000000005, 0.99880000000000002)
*it=44000 cost=0.8120177388191223 creg=0.41099152565002445
(0.57799999999999996, 0.98080000000000001, 0.99919999999999998)
(0.56879999999999997, 0.97560000000000002, 0.99850000000000005)
*it=45000 cost=0.8061004281044006 creg=0.4054895401000977
(0.58340000000000003, 0.97750000000000004, 0.99939999999999996)
(0.56599999999999995, 0.97440000000000004, 0.99870000000000003)
*it=46000 cost=0.7858996391296387 creg=0.3999533176422119
(0.59050000000000002, 0.98060000000000003, 0.99929999999999997)
(0.58209999999999995, 0.97870000000000001, 0.99909999999999999)
*it=47000 cost=0.7939190864562988 creg=0.39456024169921877
(0.58340000000000003, 0.97850000000000004, 0.99950000000000006)
(0.57369999999999999, 0.97709999999999997, 0.99890000000000001)
*it=48000 cost=0.8669871091842651 creg=0.38920743465423585
(0.5272, 0.97089999999999999, 0.99939999999999996)
(0.50980000000000003, 0.96660000000000001, 0.99950000000000006)
*it=49000 cost=0.7621822357177734 creg=0.3839761018753052
(0.59730000000000005, 0.98399999999999999, 0.99960000000000004)
(0.57250000000000001, 0.98070000000000002, 0.99960000000000004)
*it=50000 cost=0.7745830416679382 creg=0.3788275003433228
(0.57779999999999998, 0.98140000000000005, 0.99950000000000006)
(0.57340000000000002, 0.97850000000000004, 0.99909999999999999)
*it=51000 cost=0.7547905445098877 creg=0.37374434471130374
(0.5847, 0.98419999999999996, 0.99939999999999996)
(0.57530000000000003, 0.97740000000000005, 0.99860000000000004)
*it=52000 cost=0.7612336874008179 creg=0.36870043277740483
(0.58209999999999995, 0.98040000000000005, 0.99950000000000006)
(0.57110000000000005, 0.97660000000000002, 0.999)
*it=53000 cost=0.796597957611084 creg=0.36374921798706056
(0.56379999999999997, 0.97770000000000001, 0.99939999999999996)
(0.54579999999999995, 0.9708, 0.99880000000000002)
*it=54000 cost=0.7326247692108154 creg=0.35892248153686523
(0.59299999999999997, 0.98480000000000001, 0.99990000000000001)
(0.57909999999999995, 0.9758, 0.999)
*it=55000 cost=0.7434552311897278 creg=0.3541388750076294
(0.58679999999999999, 0.98160000000000003, 0.99939999999999996)
(0.57640000000000002, 0.97850000000000004, 0.99919999999999998)
*it=56000 cost=0.7274964451789856 creg=0.34948928356170655
(0.59319999999999995, 0.9839, 0.99939999999999996)
(0.57140000000000002, 0.9768, 0.99919999999999998)
*it=57000 cost=0.7352937459945679 creg=0.3448588609695435
(0.5837, 0.98160000000000003, 0.99980000000000002)
(0.56610000000000005, 0.97519999999999996, 0.99939999999999996)
*it=58000 cost=0.7163888216018677 creg=0.3402989625930786
(0.59560000000000002, 0.9829, 0.99939999999999996)
(0.58389999999999997, 0.98009999999999997, 0.99909999999999999)
*it=59000 cost=0.7287408113479614 creg=0.33579645156860355
(0.58120000000000005, 0.98209999999999997, 0.99990000000000001)
(0.56689999999999996, 0.97709999999999997, 0.99870000000000003)
*it=60000 cost=0.7666707038879395 creg=0.33138880729675296
(0.55279999999999996, 0.97770000000000001, 0.99950000000000006)
(0.53359999999999996, 0.97099999999999997, 0.999)
*it=61000 cost=0.7000681757926941 creg=0.32702293395996096
