*it=0 cost=1.721519947052002 creg=0.15311279296875
(0.29089999999999999, 0.75580000000000003, 0.96209999999999996)
(0.28660000000000002, 0.77290000000000003, 0.96750000000000003)
*it=1000 cost=1.6565828323364258 creg=0.15311381340026856
(0.28460000000000002, 0.76849999999999996, 0.96699999999999997)
(0.27400000000000002, 0.76160000000000005, 0.96430000000000005)
*it=2000 cost=1.0206856727600098 creg=0.15298462867736817
(0.40500000000000003, 0.89559999999999995, 0.99150000000000005)
(0.4037, 0.88180000000000003, 0.99009999999999998)
*it=3000 cost=0.936373770236969 creg=0.1527985954284668
(0.43149999999999999, 0.91200000000000003, 0.99460000000000004)
(0.42749999999999999, 0.90500000000000003, 0.99360000000000004)
*it=4000 cost=0.8454041481018066 creg=0.15259483337402344
(0.46389999999999998, 0.92589999999999995, 0.99609999999999999)
(0.4577, 0.92859999999999998, 0.99560000000000004)
*it=5000 cost=0.7968544960021973 creg=0.15235713005065918
(0.4768, 0.93459999999999999, 0.99639999999999995)
(0.47189999999999999, 0.93440000000000001, 0.99470000000000003)
*it=6000 cost=0.773730456829071 creg=0.1521079158782959
(0.4869, 0.94399999999999995, 0.99650000000000005)
(0.47120000000000001, 0.93440000000000001, 0.99539999999999995)
*it=7000 cost=0.7361818552017212 creg=0.15184000968933106
(0.4975, 0.94740000000000002, 0.99809999999999999)
(0.49370000000000003, 0.94689999999999996, 0.99750000000000005)
*it=8000 cost=0.8811299800872803 creg=0.15156494140625001
(0.44319999999999998, 0.92149999999999999, 0.996)
(0.45290000000000002, 0.9294, 0.99590000000000001)
*it=9000 cost=0.712255597114563 creg=0.1512831401824951
(0.50890000000000002, 0.95350000000000001, 0.99819999999999998)
(0.50090000000000001, 0.9516, 0.99750000000000005)
*it=10000 cost=0.748772144317627 creg=0.15100044250488281
(0.50060000000000004, 0.94579999999999997, 0.99680000000000002)
(0.4879, 0.94359999999999999, 0.99680000000000002)
*it=11000 cost=0.6852166652679443 creg=0.15070728302001954
(0.52170000000000005, 0.9577, 0.99819999999999998)
(0.51339999999999997, 0.95520000000000005, 0.99880000000000002)
*it=12000 cost=0.7339332103729248 creg=0.15040488243103028
(0.49299999999999999, 0.94920000000000004, 0.99850000000000005)
(0.4864, 0.94869999999999999, 0.99719999999999998)
*it=13000 cost=0.6892694234848022 creg=0.15011091232299806
(0.51100000000000001, 0.96089999999999998, 0.99780000000000002)
(0.50560000000000005, 0.9556, 0.99750000000000005)
*it=14000 cost=0.6998780965805054 creg=0.1498029613494873
(0.5171, 0.95440000000000003, 0.99809999999999999)
(0.50980000000000003, 0.95409999999999995, 0.99780000000000002)
*it=15000 cost=0.6591307520866394 creg=0.14949583053588866
(0.52180000000000004, 0.9627, 0.99909999999999999)
(0.5141, 0.96160000000000001, 0.99850000000000005)
*it=16000 cost=0.6784599423408508 creg=0.14919072151184082
(0.52070000000000005, 0.96109999999999995, 0.99739999999999995)
(0.51470000000000005, 0.95679999999999998, 0.99770000000000003)
*it=17000 cost=0.6991819143295288 creg=0.14887831687927247
(0.49809999999999999, 0.95669999999999999, 0.99829999999999997)
(0.48099999999999998, 0.94389999999999996, 0.99750000000000005)
*it=18000 cost=0.6455210447311401 creg=0.14858226776123049
(0.53510000000000002, 0.96499999999999997, 0.99819999999999998)
(0.53159999999999996, 0.9637, 0.99829999999999997)
*it=19000 cost=0.6089379787445068 creg=0.1482693862915039
(0.54600000000000004, 0.9718, 0.99839999999999995)
(0.54720000000000002, 0.96430000000000005, 0.999)
*it=20000 cost=0.626487135887146 creg=0.14795992851257325
(0.54039999999999999, 0.9677, 0.999)
(0.54249999999999998, 0.96319999999999995, 0.99819999999999998)
*it=21000 cost=0.6155002117156982 creg=0.14764890670776368
(0.54879999999999995, 0.96860000000000002, 0.99919999999999998)
(0.53690000000000004, 0.96550000000000002, 0.99819999999999998)
*it=22000 cost=0.6920797824859619 creg=0.14734307289123535
(0.50700000000000001, 0.95760000000000001, 0.999)
(0.50119999999999998, 0.95750000000000002, 0.99839999999999995)
*it=23000 cost=0.7633576393127441 creg=0.14704484939575196
(0.4803, 0.94310000000000005, 0.99839999999999995)
(0.45629999999999998, 0.93300000000000005, 0.99680000000000002)
*it=24000 cost=0.6469032764434814 creg=0.14673086166381835
(0.52300000000000002, 0.96530000000000005, 0.99860000000000004)
(0.51719999999999999, 0.96189999999999998, 0.99829999999999997)
*it=25000 cost=0.633158266544342 creg=0.14641935348510743
(0.53380000000000005, 0.96699999999999997, 0.999)
(0.53000000000000003, 0.9657, 0.99890000000000001)
*it=26000 cost=0.9073792099952698 creg=0.14610759735107423
(0.40039999999999998, 0.91869999999999996, 0.99850000000000005)
(0.4083, 0.91990000000000005, 0.99660000000000004)
*it=27000 cost=0.604392945766449 creg=0.145807580947876
(0.55130000000000001, 0.97060000000000002, 0.99890000000000001)
(0.54179999999999995, 0.96719999999999995, 0.99839999999999995)
*it=28000 cost=0.5689091086387634 creg=0.14550210952758788
(0.56869999999999998, 0.97809999999999997, 0.99950000000000006)
(0.5595, 0.96799999999999997, 0.99829999999999997)
*it=29000 cost=0.6301813125610352 creg=0.14518851280212403
(0.53720000000000001, 0.9677, 0.99890000000000001)
(0.52359999999999995, 0.96309999999999996, 0.99880000000000002)
